CountyName,HospitalType,original_index,unique_index,count
jefferson,acute care hospitals,0,0,95
jefferson,acute care hospitals,1,0,95
jefferson,acute care hospitals,2,0,95
jefferson,acute care hospitals,3,0,95
jefferson,acute care hospitals,4,0,95
jefferson,acute care hospitals,5,0,95
jefferson,acute care hospitals,6,0,95
jefferson,acute care hospitals,7,0,95
jefferson,acute care hospitals,8,0,95
jefferson,acute care hospitals,9,0,95
jefferson,acute care hospitals,10,0,95
jefferson,acute care hospitals,11,0,95
jefferson,acute care hospitals,12,0,95
jefferson,acute care hospitals,13,0,95
jefferson,acute care hospitals,14,0,95
jefferson,acute care hospitals,15,0,95
jefferson,acuxe care hospixals,16,1,1
jefferson,acute care hospitals,17,0,95
jefferson,acute care hospitals,18,0,95
houston,acute care hospitals,19,2,40
houston,acute care hospitals,20,2,40
houston,acute care hospitals,21,2,40
houston,acute care hospitals,22,2,40
houston,acute care hospitals,23,2,40
houston,acute care hospitals,24,2,40
houston,acute care hospitals,25,2,40
houston,acute care hospitals,26,2,40
houston,acute care hospitals,27,2,40
houston,acute care hospitals,28,2,40
houston,acute care hospitals,29,2,40
houston,acute care hospitals,30,2,40
houston,acute care hospitals,31,2,40
houston,acute care hospitals,32,2,40
houston,acute care hospitals,33,2,40
houston,acute care hospitals,34,2,40
houston,acute care hospitals,35,2,40
houston,acute care hospitals,36,2,40
houston,acute care hospitals,37,2,40
houston,acute care hospitals,38,2,40
houston,acxte care hospitals,39,3,1
houston,acute care hospitals,40,2,40
houston,acute care hospitals,41,2,40
houston,acute care hospitals,42,2,40
houston,acute care hospitals,43,2,40
marshall,acute care hospitals,44,4,49
marshall,acute care hospitals,45,4,49
marshall,acute care hospitals,46,4,49
marshall,acute care hospitals,47,4,49
marshall,acute care hospitals,48,4,49
marshall,acute care hospitals,49,4,49
marshall,acute care hospitals,50,4,49
marshall,acute care hospitals,51,4,49
marshall,acute care hospitals,52,4,49
marshall,acute care hospitals,53,4,49
marshall,acute care hospitals,54,4,49
marshall,acute care hospitals,55,4,49
marshall,acute care hospitals,56,4,49
marshall,acute care hospitals,57,4,49
marshall,acute care hospitals,58,4,49
marshall,acute care hospitals,59,4,49
marshall,acute care hospitals,60,4,49
marshall,acute care hospitals,61,4,49
marshall,acute care hospitals,62,4,49
marshall,acute care hospitals,63,4,49
marshall,acute care hospitals,64,4,49
marshall,acute care hospitals,65,4,49
marshall,acute care hospitals,66,4,49
mxrshxll,acute care hospitals,67,5,1
marshall,acute care hospitals,68,4,49
lauderdale,acute care hospitals,69,6,23
lauderdale,acute care hospitals,70,6,23
lauderdale,acute care hospitals,71,6,23
laudxrdalx,acute care hospitals,72,7,1
lauderdale,acute care hospitals,73,6,23
lauderdale,acute care hospitals,74,6,23
lauderdale,acute care hospitals,75,6,23
lauderdale,acute care hospitals,76,6,23
laudexdale,acute care hospitals,77,8,1
lauderdale,acute care hospitals,78,6,23
lauderdale,acute care hospitals,79,6,23
lauderdale,acute care hospitals,80,6,23
lauderdale,acute care hospitals,81,6,23
lauderdale,acute care hospitals,82,6,23
lauderdale,acute care hospitals,83,6,23
lauderdale,acute care hospitals,84,6,23
lauderdale,acute care hospitals,85,6,23
lauderdale,acute care hospitals,86,6,23
lauderdale,acute care hospitals,87,6,23
lauderdale,acute care hospitals,88,6,23
lauderdale,acute care hospitals,89,6,23
lauderdale,acute care hospitals,90,6,23
lauderdale,acute care hospitals,91,6,23
lauderdale,acute care hospitals,92,6,23
lauderdale,acute care hospitals,93,6,23
covington,acute care hospitals,94,9,48
covington,acute care hospitals,95,9,48
covington,acute care hospitals,96,9,48
covington,acute care hospitals,97,9,48
covington,acute care hosxitals,98,10,1
covington,acute care hospitals,99,9,48
covington,acute care hospitals,100,9,48
covington,acute care hospitals,101,9,48
covington,acute care hospitals,102,9,48
covington,acute care hospitals,103,9,48
covington,acute care hospitals,104,9,48
covington,acute care hospitals,105,9,48
covington,acute care hospitals,106,9,48
covington,acute care hospitals,107,9,48
covington,acute care hospitals,108,9,48
covington,acute care hospitals,109,9,48
covington,acute care hospitals,110,9,48
covington,acute care hospitals,111,9,48
covington,acute care hospitals,112,9,48
covington,acute care hospitals,113,9,48
covington,acute care hospitals,114,9,48
covington,acute care hospitals,115,9,48
covington,acute care hospitals,116,9,48
covington,acute care hospitals,117,9,48
covington,acute care hospitals,118,9,48
crenshaw,acute care hospitals,119,11,24
crenshaw,acute care hospitals,120,11,24
crenshaw,acute care hospitals,121,11,24
crenshaw,acute care hospitals,122,11,24
crenshaw,acute care hospitals,123,11,24
crenshaw,acute care hospitals,124,11,24
crenshaw,acute care hospitals,125,11,24
crenshaw,acute care hospitals,126,11,24
crenshaw,acute care hospitals,127,11,24
crenshaw,acute care hospitals,128,11,24
crenshaw,acute care hospitals,129,11,24
crenshaw,acute care hospitals,130,11,24
crenshaw,acute care hospitals,131,11,24
crenshaw,acute care hospitals,132,11,24
crenshaw,acute care hospitals,133,11,24
crenshaw,acute care hospitals,134,11,24
crenshaw,acute care hospitals,135,11,24
crxnshaw,acute care hospitals,136,12,1
crenshaw,acute care hospitals,137,11,24
crenshaw,acute care hospitals,138,11,24
crenshaw,acute care hospitals,139,11,24
crenshaw,acute care hospitals,140,11,24
crenshaw,acute care hospitals,141,11,24
crenshaw,acute care hospitals,142,11,24
crenshaw,acute care hospitals,143,11,24
morgan,acute care hospitals,144,13,26
morgan,acute care hospitals,145,13,26
morgan,acute care hospitals,146,13,26
morgan,acute care hospitals,147,13,26
morgan,acute care hospitals,148,13,26
morgan,acute care hospitals,149,13,26
morgan,acute care hospitals,150,13,26
morgan,acute care hospitals,151,13,26
morgan,acute care hospitals,152,13,26
morgan,acute care hospitals,153,13,26
morgan,acute care hospitals,154,13,26
morgan,acute care hospitals,155,13,26
morgan,acute care hospitals,156,13,26
morgan,acute care hospitals,157,13,26
morgan,acute care hospitals,158,13,26
morgan,acute care hospitals,159,13,26
morgan,acute care hospitals,160,13,26
morgan,acute care hospitals,161,13,26
morgan,acute care hospitals,162,13,26
morgan,acute care hospitals,163,13,26
morgan,acute care hospitals,164,13,26
morgan,acute care hospitals,165,13,26
morgan,acute care hospitals,166,13,26
morgan,acute care hospitals,167,13,26
morgan,acute care hospitals,168,13,26
marshall,acute care hospitals,169,4,49
marshall,acute care hospitals,170,4,49
marshall,acute care hospitals,171,4,49
marshall,acute care hospitals,172,4,49
marshall,acute care hospitals,173,4,49
marshall,acute care hospitals,174,4,49
marshall,acute care hospitals,175,4,49
marshall,acute care hospitals,176,4,49
marshall,acute care hospitals,177,4,49
marshall,acute care hospitals,178,4,49
marshall,acute care hospitals,179,4,49
marshall,acute care hospitals,180,4,49
marshall,acute care hospitals,181,4,49
marshall,acute care hospitals,182,4,49
marshall,acute care hospitals,183,4,49
marshall,acute care hospitals,184,4,49
marshall,acute care hospitals,185,4,49
marshall,acute care hospitals,186,4,49
marshall,acute care hospitals,187,4,49
marshall,acute care hospitals,188,4,49
marshall,acute care hospitals,189,4,49
marshall,acute care hospitals,190,4,49
marshall,acute care hospitals,191,4,49
marshall,acute care hospitals,192,4,49
marshall,acute care hospitals,193,4,49
jefferson,acute care hospitals,194,0,95
jefferson,acute care hospitals,195,0,95
jefferson,acute care hospitals,196,0,95
jefferson,acute care hospitals,197,0,95
jefferson,acute care hospitals,198,0,95
jefferson,acute care hosxitals,199,14,1
jefferson,acute care hospitals,200,0,95
jefferson,acute care hospitals,201,0,95
jefferson,acute care hospitals,202,0,95
jefferson,acute care hospitals,203,0,95
jefferson,acute care hospitals,204,0,95
jefferson,acute care hospitals,205,0,95
jefferson,acute care hospitals,206,0,95
jefferson,acute care hospitals,207,0,95
jefferson,acute care hospitals,208,0,95
jefferson,acute care hospitals,209,0,95
jefferson,acute care hospitals,210,0,95
jefferson,acute care hospitals,211,0,95
jefferson,acute care hospitals,212,0,95
jefferson,acutx carx hospitals,213,15,1
jefferson,acute care hospitals,214,0,95
jefferson,acute care hospitals,215,0,95
jeffersxn,acute care hospitals,216,16,1
