0,1,2,3,4,5,6
1250,myrateplan,AA-466-IAH-MIA,,6:09 a.m.,,8:50 a.m.
1282,myrateplan,AA-400-DFW-JFK,,11:02 a.m.,,2:58 p.m.
1314,myrateplan,AA-3786-IAH-ORD,,4:12 p.m.,,6:11 p.m.
1318,myrateplan,AA-4198-ORD-CLE,,10:55 a.m.,,12:37 p.m.
1258,myrateplan,AA-4344-ORD-DTW,,12:14 p.m.,,1:55 p.m.
1227,myrateplan,UA-397-JFK-SFO,,8:48 a.m.,,11:30 a.m.
1291,myrateplan,AA-431-MIA-SFO,,8:52 a.m.,,11:33 a.m.
1263,myrateplan,AA-2050-ORD-MIA,,11:06 a.m.,,2:39 p.m.
1295,myrateplan,UA-6273-YYC-SFO,,7:41 a.m.,,8:33 a.m.
1305,myrateplan,AA-1917-JFK-MCO,,3:28 p.m.,,5:39 p.m.
1275,myrateplan,AA-1007-MIA-PHX,,5:09 p.m.,,7:43 p.m.
1310,myrateplan,AA-789-ORD-DEN,,1:20 p.m.,,2:49 p.m.
1311,myrateplan,AA-415-BOS-ORD,,8:55 a.m.,,10:12 a.m.
1248,myrateplan,AA-446-DFW-PHL,,12:13 p.m.,,4:08 p.m.
