style,brewery-id,original_index,unique_index
American Pale Lager,408,0,0
American Pale Ale (APA),177,1,1
American IPA,177,2,2
American Double / Imperial IPA,177,3,3
American IPA,177,4,2
Oatmeal Stout,177,5,4
American Pale Ale (APA),177,6,1
American Porter,177,7,5
American Pale Ale (APA),177,8,1
American Double / Imperial IPA,177,9,3
Saison / Farmhouse Ale,177,10,6
Saison / Farmhouse Ale,177,11,6
Saison / Farmhouse Ale,177,12,6
Belgian IPA,177,13,7
American Pale Ale (APA),177,14,1
Cider,154,15,8
Cider,154,16,8
Cider,154,17,8
Cider,154,18,8
Baltic Porter,368,19,9
Tripel,368,20,10
American Barleywine,368,21,11
Winter Warmer,368,22,12
American Stout,368,23,13
American Pale Ale (APA),368,24,14
Fruit / Vegetable Beer,368,25,15
Fruit / Vegetable Beer,368,26,15
Fruit / Vegetable Beer,368,27,15
American IPA,368,28,16
American IPA,368,29,16
American IPA,368,30,16
English Strong Ale,368,31,17
American Double / Imperial IPA,368,32,18
American Pale Ale (APA),368,33,14
Winter Warmer,368,34,12
American Black Ale,368,35,19
Belgian Dark Ale,368,36,20
American IPA,368,37,16
Fruit / Vegetable Beer,368,38,15
American IPA,67,39,21
American Blonde Ale,67,40,22
American Amber / Red Ale,67,41,23
Berliner Weissbier,60,42,24
American Blonde Ale,60,43,25
American Brown Ale,60,44,26
American Amber / Red Ale,60,45,27
American Black Ale,60,46,28
American IPA,60,47,29
American IPA,60,48,29
American Pale Wheat Ale,60,49,30
American IPA,27,50,31
American IPA,27,51,31
Belgian Strong Dark Ale,27,52,32
American IPA,27,53,31
English Strong Ale,27,54,33
Kölsch,27,55,34
Belgian Dark Ale,27,56,35
American IPA,481,57,36
English Pale Ale,481,58,37
English Pale Ale,481,59,37
American Double / Imperial IPA,481,60,38
Berliner Weissbier,373,61,39
American Amber / Red Lager,462,62,40
American Amber / Red Lager,462,63,40
American IPA,533,64,41
Fruit / Vegetable Beer,533,65,42
American Amber / Red Lager,533,66,43
American IPA,62,67,44
American Brown Ale,62,68,45
American Double / Imperial IPA,1,69,46
English Barleywine,1,70,47
Milk / Sweet Stout,1,71,48
American Pale Ale (APA),1,72,49
German Pilsener,1,73,50
Pumpkin Ale,1,74,51
Belgian Pale Ale,1,75,52
American Pilsner,1,76,53
American Double / Imperial IPA,1,77,46
Saison / Farmhouse Ale,1,78,54
American Wild Ale,1,79,55
American IPA,1,80,56
English Brown Ale,1,81,57
American Stout,367,82,58
American Pale Ale (APA),367,83,59
American Pilsner,367,84,60
American Pilsner,117,85,61
American Pale Ale (APA),117,86,62
American Double / Imperial IPA,117,87,63
American Pale Ale (APA),270,88,64
Altbier,270,89,65
American Pale Ale (APA),73,90,66
Kölsch,388,91,67
American IPA,388,92,68
American Pale Ale (APA),401,93,69
American IPA,401,94,70
American IPA,401,95,70
American IPA,35,96,71
American IPA,35,97,71
American Pale Wheat Ale,35,98,72
American Amber / Red Lager,35,99,73
California Common / Steam Beer,35,100,74
Gose,171,101,75
American Pale Ale (APA),171,102,76
Gose,171,103,75
Pumpkin Ale,171,104,77
Oatmeal Stout,171,105,78
Cream Ale,171,106,79
American IPA,171,107,80
American Amber / Red Ale,171,108,81
Oatmeal Stout,171,109,78
Vienna Lager,171,110,82
American Amber / Red Ale,171,111,81
Cream Ale,171,112,79
