Duration,original_index,unique_index
109 min,0,0
96 min,1,1
120 min,2,2
96 min,3,1
93 min,4,3
143 min,5,4
120 min,6,2
92 min,7,5
95 min,8,6
,9,7
100 min,10,8
105 min,11,9
110 min,12,10
115 min,13,11
127 min,14,12
124 min,15,13
117 min,16,14
125 min,17,15
121 min,18,16
106 min,19,17
95 min,20,6
104 min,21,18
92 min,22,5
91 min,23,19
122 min,24,20
143 min,25,4
120 min,26,2
,27,7
52 min,28,21
,29,7
154 min,30,22
110 min,31,10
113 min,32,23
146 min,33,24
151 min,34,25
102 min,35,26
160 min,36,27
102 min,37,26
120 min,38,2
159 min,39,28
152 min,40,29
86 min,41,30
88 min,42,31
79 min,43,32
94 min,44,33
,45,7
90 min,46,34
93 min,47,3
85 min,48,35
100 min,49,8
96 min,50,1
100 min,51,8
104 min,52,18
103 min,53,36
127 min,54,12
97 min,55,37
87 min,56,38
100 min,57,8
,58,7
84 min,59,39
1 hr. 39 min.,60,40
106 min,61,17
114 min,62,41
101 min,63,42
104 min,64,18
90 min,65,34
91 min,66,19
1 hr. 45 min.,67,43
117 min,68,14
79 min,69,32
110 min,70,10
109 min,71,0
111 min,72,44
64 min,73,45
86 min,74,30
73 min,75,46
68 min,76,47
84 min,77,39
90 min,78,34
80 min,79,48
144 min,80,49
108 min,81,50
100 min,82,8
118 min,83,51
122 min,84,20
116 min,85,52
112 min,86,53
90 min,87,34
126 min,88,54
121 min,89,16
101 min,90,42
136 min,91,55
115 min,92,11
89 min,93,56
90 min,94,34
72 min,95,57
71 min,96,58
63 min,97,59
74 min,98,60
76 min,99,61
73 min,100,46
103 min,101,36
99 min,102,62
79 min,103,32
97 min,104,37
90 min,105,34
,106,7
114 min,107,41
89 min,108,56
110 min,109,10
115 min,110,11
93 min,111,3
117 min,112,14
160 min,113,27
120 min,114,2
87 min,115,38
129 min,116,63
212 min,117,64
112 min,118,53
98 min,119,65
89 min,120,56
114 min,121,41
91 min,122,19
108 min,123,50
93 min,124,3
82 min,125,66
89 min,126,56
88 min,127,31
86 min,128,30
87 min,129,38
165 min,130,67
137 min,131,68
116 min,132,52
88 min,133,31
95 min,134,6
118 min,135,51
91 min,136,19
88 min,137,31
85 min,138,35
100 min,139,8
100 min,140,8
108 min,141,50
142 min,142,69
90 min,143,34
89 min,144,56
84 min,145,39
88 min,146,31
78 min,147,70
85 min,148,35
89 min,149,56
90 min,150,34
108 min,151,50
107 min,152,71
90 min,153,34
89 min,154,56
152 min,155,29
124 min,156,13
105 min,157,9
108 min,158,50
121 min,159,16
1 hr. 41 min.,160,72
2 hr. 16 min.,161,73
140 min,162,74
124 min,163,13
106 min,164,17
95 min,165,6
90 min,166,34
108 min,167,50
1 hr. 20 min.,168,75
87 min,169,38
81 min,170,76
110 min,171,10
100 min,172,8
135 min,173,77
2 hr. 7 min.,174,78
100 min,175,8
122 min,176,20
122 min,177,20
109 min,178,0
157 min,179,79
133 min,180,80
76 min,181,61
94 min,182,33
1 hr. 26 min.,183,81
104 min,184,18
60 min,185,82
92 min,186,5
104 min,187,18
75 min,188,83
137 min,189,68
114 min,190,41
87 min,191,38
64 min,192,45
104 min,193,18
102 min,194,26
107 min,195,71
90 min,196,34
89 min,197,56
95 min,198,6
104 min,199,18
91 min,200,19
140 min,201,74
97 min,202,37
99 min,203,62
133 min,204,80
98 min,205,65
125 min,206,15
118 min,207,51
129 min,208,63
103 min,209,36
