City,ZipCode,original_index,unique_index,count
birmingham,35233,0,0,45
birmingham,35233,1,0,45
birmingham,35233,2,0,45
birminghxm,35233,3,1,1
birmingham,35233,4,0,45
birmingham,35233,5,0,45
birmingham,35233,6,0,45
birmingxam,35233,7,2,1
sheffield,35660,8,3,24
sheffield,35660,9,3,24
sheffxeld,35660,10,4,1
sheffield,35660,11,3,24
sheffield,35660,12,3,24
sheffield,35660,13,3,24
sheffield,35660,14,3,24
sheffield,35660,15,3,24
sheffield,35660,16,3,24
sheffield,35660,17,3,24
sheffield,35660,18,3,24
dothan,36302,19,5,25
dothan,36302,20,5,25
dothan,36302,21,5,25
dothan,36302,22,5,25
dothan,36302,23,5,25
dothan,36302,24,5,25
dothan,36302,25,5,25
dothan,36302,26,5,25
dothan,36302,27,5,25
dothan,36302,28,5,25
dothan,36302,29,5,25
dothan,36302,30,5,25
dothan,36302,31,5,25
dothan,36302,32,5,25
dothan,36302,33,5,25
dothan,36302,34,5,25
dothan,36302,35,5,25
dothan,36302,36,5,25
dothan,36302,37,5,25
dothan,36302,38,5,25
dothan,36302,39,5,25
dothan,36302,40,5,25
dothan,36302,41,5,25
dothan,36302,42,5,25
dothan,36302,43,5,25
boaz,x5957,44,6,1
boaz,35957,45,7,22
boaz,35957,46,7,22
boaz,35957,47,7,22
boaz,35957,48,7,22
boaz,35957,49,7,22
boaz,35957,50,7,22
boaz,35957,51,7,22
boaz,35957,52,7,22
boaz,35957,53,7,22
boaz,35957,54,7,22
boaz,35957,55,7,22
boxz,35957,56,8,1
boaz,35957,57,7,22
boaz,35957,58,7,22
boaz,35957,59,7,22
boaz,35957,60,7,22
boaz,35957,61,7,22
boaz,35957,62,7,22
boaz,3595x,63,9,1
boaz,35957,64,7,22
boaz,35957,65,7,22
boaz,35957,66,7,22
boaz,35957,67,7,22
boaz,35957,68,7,22
florence,35631,69,10,21
florence,3563x,70,11,1
florence,35631,71,10,21
florence,35631,72,10,21
florence,35631,73,10,21
florence,35631,74,10,21
florence,35631,75,10,21
florence,35631,76,10,21
florence,35631,77,10,21
florence,35631,78,10,21
fxorence,35631,79,12,1
florence,35631,80,10,21
florence,35631,81,10,21
florence,35631,82,10,21
florence,35631,83,10,21
florence,35631,84,10,21
florence,35631,85,10,21
florence,35631,86,10,21
florence,35631,87,10,21
florxncx,35631,88,13,1
florence,35631,89,10,21
florence,35631,90,10,21
florence,35631,91,10,21
florence,35631,92,10,21
flxrence,3563x,93,14,1
opp,36467,94,15,25
opp,36467,95,15,25
opp,36467,96,15,25
opp,36467,97,15,25
opp,36467,98,15,25
opp,36467,99,15,25
opp,36467,100,15,25
opp,36467,101,15,25
opp,36467,102,15,25
opp,36467,103,15,25
opp,36467,104,15,25
opp,36467,105,15,25
opp,36467,106,15,25
opp,36467,107,15,25
opp,36467,108,15,25
opp,36467,109,15,25
opp,36467,110,15,25
opp,36467,111,15,25
opp,36467,112,15,25
opp,36467,113,15,25
opp,36467,114,15,25
opp,36467,115,15,25
opp,36467,116,15,25
opp,36467,117,15,25
opp,36467,118,15,25
luverne,36049,119,16,23
luverne,36049,120,16,23
luverne,36049,121,16,23
luverne,36049,122,16,23
luverne,36049,123,16,23
luverne,36049,124,16,23
luverne,36049,125,16,23
luverne,36049,126,16,23
luverne,36049,127,16,23
luverne,36049,128,16,23
luverne,36049,129,16,23
luverne,36049,130,16,23
luverne,36049,131,16,23
luverne,36049,132,16,23
luverne,36049,133,16,23
luverne,36049,134,16,23
luverne,36049,135,16,23
luverne,36049,136,16,23
luverne,36x49,137,17,1
luverne,36049,138,16,23
luverne,360x9,139,18,1
luverne,36049,140,16,23
luverne,36049,141,16,23
luverne,36049,142,16,23
luverne,36049,143,16,23
hartselle,35640,144,19,23
hartselle,35640,145,19,23
hartselle,35640,146,19,23
hartselle,35640,147,19,23
hartselle,35640,148,19,23
hartselle,3x640,149,20,2
hartselle,35640,150,19,23
hartselle,35640,151,19,23
hartselle,35640,152,19,23
hartselle,35640,153,19,23
hartselle,35640,154,19,23
hartselle,35640,155,19,23
hartselle,35640,156,19,23
hartselle,3x640,157,20,2
hartselle,35640,158,19,23
hartselle,35640,159,19,23
hartselle,35640,160,19,23
hartselle,35640,161,19,23
hartselle,35640,162,19,23
hartselle,35640,163,19,23
hartselle,35640,164,19,23
hartselle,35640,165,19,23
hartselle,35640,166,19,23
hartselle,35640,167,19,23
hartselle,35640,168,19,23
guntersville,35976,169,21,24
guntersville,35976,170,21,24
guntersville,35976,171,21,24
guntersville,35976,172,21,24
guntersville,35976,173,21,24
guntersville,35976,174,21,24
guntersville,35976,175,21,24
guntersville,35976,176,21,24
guntersville,35976,177,21,24
guntersville,35976,178,21,24
guntersville,35976,179,21,24
guntxrsvillx,35976,180,22,1
guntersville,35976,181,21,24
guntersville,35976,182,21,24
guntersville,35976,183,21,24
guntersville,35976,184,21,24
