Director,Creator,original_index,unique_index
Alfred Hitchcock,"Joseph Stefano,Robert Bloch",0,0
George A. Romero,George A. Romero,1,1
Alfred Hitchcock,"Charles Bennett,Joan Harrison",2,2
Peter Askin,"Christopher Trumbo,Christopher Trumbo",3,3
Alexandre O. Philippe,Alexandre O. Philippe,4,4
Alfred Hitchcock,"Leon Uris,Samuel A. Taylor",5,5
Alfred Hitchcock,"Ernest Lehman,Victor Canning",6,6
Michael Gornick,"Stephen King,George A. Romero",7,7
Daniel Attias,"Stephen King,Stephen King",8,8
Noah Stern,Noah Stern,9,9
Steve Rash,"Tony Spiridakis,Joseph W. Savino",10,10
Peter Hanson,"Peter Hanson,Paul Robert Herman",11,11
Wes Anderson,"Wes Anderson,Owen Wilson",12,12
Paul Greengrass,"Tony Gilroy,Scott Z. Burns",13,13
Paul Verhoeven,Joe Eszterhas,14,14
Adrian Lyne,"Claude Chabrol,Alvin Sargent",15,15
Jan de Bont,"Dean Georgaris,Steven E. de Souza",16,16
Stephen Sommers,"Stephen Sommers,Lloyd Fonvielle",17,17
Len Wiseman,"Kevin Grevioux,Len Wiseman",18,18
Len Wiseman,"Danny McBride,Len Wiseman",19,19
"Pierre Coffin,Chris Renaud","Cinco Paul,Ken Daurio",20,20
Dan Scanlon,"Dan Scanlon,Daniel Gerson",21,21
"John Lasseter,Ash Brannon","John Lasseter,Pete Docter",22,22
Werner Herzog,"Herbert Golder,Werner Herzog",23,23
Werner Herzog,"William M. Finkelstein,Victor Argo",24,24
Sam Mendes,"Neal Purvis,Robert Wade",25,25
Stephen Norrington,David S. Goyer,26,26
Jason Scott Sadofsky,Jason Scott Sadofsky,27,27
Jeremy Mack,,28,28
Edward Zwick,"Lee Child,Marshall Herskovitz",29,29
Edward Zwick,"John Logan,John Logan",30,30
Tony Scott,"Jim Cash,Jack Epps Jr.",31,31
Vincent Ward,"Richard Matheson,Ronald Bass",32,32
Gene Kelly,"Michael Stewart,Thornton Wilder",33,33
William Wyler,"Isobel Lennart,Isobel Lennart",34,34
Michael Curtiz,"Julius J. Epstein,Philip G. Epstein",35,35
Stanley Kubrick,"Stanley Kubrick,Arthur C. Clarke",36,36
Darren Aronofsky,"Hubert Selby Jr.,Hubert Selby Jr.",37,37
David Lynch,David Lynch,38,38
Stanley Kubrick,"Stanley Kubrick,Frederic Raphael",39,39
Stanley Kubrick,"Vladimir Nabokov,Vladimir Nabokov",40,40
F.W. Murnau,"F.W. Murnau,Robert J. Flaherty",41,41
"Jonathan Milott,Cary Murnion","Leigh Whannell,Ian Brennan",42,42
Seth Gordon,Seth Gordon,43,43
Juan Carlos Pineiro Escoriaza,Victor Pineiro-Escoriaza,44,44
Adam Cornelius,Chris Higgins,45,45
Dave Danzara,"Dave Danzara,Sean Newton",46,46
"Luke Meyer,Andrew Neel","Luke Meyer,Andrew Neel",47,47
Jeff Von Ward,Jeff Von Ward,48,48
Sean Tiedeman,,49,49
Ross Partridge,"Bonnie Nadzam,Ross Partridge",50,50
Eli Roth,"Guillermo Amoedo,Eli Roth",51,51
Penny Marshall,"Gary Ross,Anne Spielberg",52,52
D.J. Caruso,"Michael Pye,Jon Bokenkamp",53,53
James Mangold,"Susanna Kaysen,James Mangold",54,54
Zack Snyder,"John Orloff,Emil Stern",55,55
Wes Anderson,"Roald Dahl,Wes Anderson",56,56
David M. Rosenthal,"Alan B. McElroy,Tyger Williams",57,57
"Tarsem Singh,Tarsem Singh Dhandwar","Charles Parlapanides,Vlas Parlapanides",58,58
"Matt Duffer,Ross Duffer","Matt Duffer,Ross Duffer",59,59
Nima Nourizadeh,Max Landis,60,60
Joe Dante,"Chris Columbus,Charles S. Haas",61,61
Tobe Hooper,"Steven Spielberg,Michael Grais",62,62
Richard Donner,"Mitch Glazer,Michael O'Donoghue",63,63
Pitof,"Bob Kane,Theresa Rebeck",64,64
Greydon Clark,Greydon Clark,65,65
Lisa France,"Antonio Macia,Antonio Macia",66,66
Martin Ritt,"Lonne Elder, III",67,67
Victor Fleming,"Rudyard Kipling,John Lee Mahin",68,68
Alfred E. Green,"Laird Doyle,Laird Doyle",69,69
Vincent Sherman,"John Van Druten,Lenore J. Coffee",70,70
Ivan Reitman,"Kevin Wade,Chris Conrad",71,71
Edward Dmytryk,"John Michael Hayes,Harold Robbins",72,72
George Archainbaud,"Martin Flavin,Beulah Marie Dix",73,73
Richard Thorpe,"Ronald Millar,George Froeschel",74,74
J. Walter Ruben,"Maurice Level,J. Walter Ruben",75,75
Walter Lang,"Herman J. Mankiewicz,Norman Krasna",76,76
Arthur Lubin,"Arthur T. Horman,John Grant",77,77
Jean Yarbrough,"John Grant,Edmund L. Hartmann",78,78
Charles Lamont,"John Grant,Lee Loeb",79,79
Harry A. Pollard,"Harriet Beecher Stowe,Harvey F. Thew",80,80
J. Lee Thompson,"Elliott Arnold,Elliott Arnold",81,81
Michael Anderson,"Elliott Arnold,Elliott Arnold",82,82
Franklin J. Schaffner,"John Byrum,Robin Cook",83,83
James Ivory,"Henry James,Ruth Prawer Jhabvala",84,84
Sydney Pollack,Kurt Luedtke,85,85
Martin Ritt,"Irving Ravetch,Harriet Frank Jr.",86,86
Preston Sturges,Preston Sturges,87,87
Cecil B. DeMille,"Alan Le May,Jesse Lasky Jr.",88,88
Michael Curtiz,Robert Buckner,89,89
"Henry King,Otto Brower","Philip Dunne,Julien Josephson",90,90
