id,original_index,unique_index
235295,0,0
498345,1,1
789958,2,2
169865,3,3
803653,4,4
98234,5,5
823730,6,6
729712,7,7
396821,8,8
340222,9,9
184417,10,10
729686,11,11
278396,12,12
965082,13,13
53321,14,14
13601,15,15
668310,16,16
282987,17,17
478292,18,18
43736,19,19
82614,20,20
163526,21,21
514411,22,22
569841,23,23
6207,24,24
21910,25,25
378490,26,26
971878,27,27
793918,28,28
819166,29,29
880881,30,30
629530,31,31
954388,32,32
379737,33,33
676042,34,34
353972,35,35
968125,36,36
660168,37,37
732534,38,38
473026,39,39
372175,40,40
110072,41,41
330553,42,42
23215,43,43
719532,44,44
86421,45,45
433667,46,46
530323,47,47
102893,48,48
864817,49,49
217725,50,50
730822,51,51
659297,52,52
42247,53,53
302969,54,54
158672,55,55
616298,56,56
221086,57,57
548616,58,58
669596,59,59
474288,60,60
108424,61,61
841679,62,62
173830,63,63
852927,64,64
237623,65,65
912884,66,66
318931,67,67
93659,68,68
349150,69,69
572010,70,70
826030,71,71
34962,72,72
574309,73,73
200077,74,74
421512,75,75
715052,76,76
172966,77,77
140274,78,78
282039,79,79
835177,80,80
519732,81,81
761104,82,82
408062,83,83
889481,84,84
894596,85,85
604985,86,86
220950,87,87
770196,88,88
914468,89,89
346326,90,90
612846,91,91
282053,92,92
870257,93,93
417578,94,94
949067,95,95
931323,96,96
752456,97,97
377284,98,98
420138,99,99
444273,100,100
816680,101,101
491006,102,102
628299,103,103
72089,104,104
847287,105,105
764224,106,106
591619,107,107
125072,108,108
255432,109,109
689284,110,110
781141,111,111
148787,112,112
779281,113,113
684757,114,114
447382,115,115
585766,116,116
185291,117,117
886237,118,118
954493,119,119
922646,120,120
843485,121,121
668845,122,122
863844,123,123
946006,124,124
36429,125,125
259367,126,126
977276,127,127
369578,128,128
772616,129,129
334681,130,130
757463,131,131
465176,132,132
368072,133,133
812893,134,134
380945,135,135
513829,136,136
862798,137,137
316632,138,138
38413,139,139
595469,140,140
49698,141,141
900624,142,142
246528,143,143
347144,144,144
957059,145,145
269313,146,146
267879,147,147
224232,148,148
62306,149,149
182986,150,150
663994,151,151
520771,152,152
754594,153,153
817046,154,154
736183,155,155
963532,156,156
131820,157,157
704093,158,158
912377,159,159
203935,160,160
68354,161,161
259916,162,162
199407,163,163
790756,164,164
592893,165,165
232775,166,166
631610,167,167
901298,168,168
456691,169,169
429995,170,170
709359,171,171
690938,172,172
910604,173,173
730191,174,174
42135,175,175
835178,176,176
335521,177,177
22708,178,178
704111,179,179
804762,180,180
657210,181,181
431896,182,182
490584,183,183
929252,184,184
821382,185,185
961741,186,186
925885,187,187
717315,188,188
967781,189,189
928952,190,190
225002,191,191
550350,192,192
622979,193,193
501663,194,194
48738,195,195
143029,196,196
667611,197,197
565079,198,198
348006,199,199
55412,200,200
546048,201,201
979292,202,202
971456,203,203
533193,204,204
970436,205,205
437969,206,206
464335,207,207
417782,208,208
979059,209,209
661572,210,210
132901,211,211
245822,212,212
440401,213,213
77389,214,214
592817,215,215
169270,216,216
288711,217,217
184949,218,218
833251,219,219
470174,220,220
315926,221,221
901385,222,222
787529,223,223
431348,224,224
441393,225,225
481882,226,226
572425,227,227
581864,228,228
455406,229,229
696362,230,230
504206,231,231
800900,232,232
235689,233,233
659896,234,234
84944,235,235
326944,236,236
922795,237,237
768486,238,238
428363,239,239
519287,240,240
638918,241,241
111336,242,242
747279,243,243
674696,244,244
258108,245,245
59308,246,246
610641,247,247
631704,248,248
846537,249,249
973076,250,250
931402,251,251
908690,252,252
417373,253,253
759329,254,254
386327,255,255
695010,256,256
191908,257,257
384767,258,258
855912,259,259
710727,260,260
816996,261,261
625016,262,262
275675,263,263
967376,264,264
640230,265,265
625663,266,266
480649,267,267
782541,268,268
692358,269,269
836847,270,270
867207,271,271
253149,272,272
929971,273,273
470385,274,274
731703,275,275
113399,276,276
685178,277,277
653325,278,278
893573,279,279
56272,280,280
737786,281,281
680306,282,282
53877,283,283
504928,284,284
198650,285,285
671386,286,286
981412,287,287
785472,288,288
734077,289,289
46028,290,290
743129,291,291
392246,292,292
904889,293,293
360147,294,294
670289,295,295
821702,296,296
188890,297,297
321660,298,298
427455,299,299
246204,300,300
857402,301,301
704357,302,302
716785,303,303
746065,304,304
738322,305,305
934177,306,306
351534,307,307
872389,308,308
499983,309,309
452432,310,310
320139,311,311
735083,312,312
978471,313,313
152626,314,314
90272,315,315
776651,316,316
931361,317,317
623358,318,318
385940,319,319
951168,320,320
515254,321,321
674623,322,322
226419,323,323
178078,324,324
453637,325,325
57483,326,326
462849,327,327
338547,328,328
438808,329,329
352040,330,330
887131,331,331
182296,332,332
49847,333,333
524073,334,334
348813,335,335
427933,336,336
6862,337,337
853676,338,338
556116,339,339
734870,340,340
540850,341,341
465756,342,342
762269,343,343
441902,344,344
950233,345,345
621415,346,346
633877,347,347
756208,348,348
97853,349,349
720775,350,350
294439,351,351
375430,352,352
689666,353,353
896848,354,354
231182,355,355
232896,356,356
798716,357,357
704812,358,358
203084,359,359
81959,360,360
235924,361,361
291020,362,362
408188,363,363
283460,364,364
563505,365,365
761676,366,366
923043,367,367
248075,368,368
313030,369,369
885384,370,370
361906,371,371
180827,372,372
723057,373,373
894502,374,374
793410,375,375
816944,376,376
632040,377,377
752280,378,378
716594,379,379
919751,380,380
60309,381,381
757176,382,382
261329,383,383
615903,384,384
169524,385,385
178424,386,386
716357,387,387
448010,388,388
788729,389,389
624354,390,390
112716,391,391
881020,392,392
605643,393,393
5782,394,394
852332,395,395
343395,396,396
826830,397,397
905100,398,398
34517,399,399
771377,400,400
32426,401,401
722451,402,402
318542,403,403
533425,404,404
854232,405,405
2842,406,406
789057,407,407
205187,408,408
970712,409,409
161630,410,410
583682,411,411
891722,412,412
54613,413,413
450749,414,414
19086,415,415
852213,416,416
475847,417,417
893664,418,418
450528,419,419
838034,420,420
119186,421,421
274083,422,422
784224,423,423
260769,424,424
592831,425,425
464911,426,426
369162,427,427
209896,428,428
217524,429,429
694007,430,430
53319,431,431
