ZipCode,CountyName,original_index,unique_index
35233,jefferson,0,0
35233,jefferson,1,0
35233,jefferson,2,0
35233,jefferson,3,0
35233,jefferson,4,0
35233,jefferson,5,0
35233,jefferson,6,0
35233,jefferson,7,0
35660,jefferson,8,1
35660,jefferson,9,1
35660,jefferson,10,1
35660,jefferson,11,1
35660,jefferson,12,1
35660,jefferson,13,1
35660,jefferson,14,1
35660,jefferson,15,1
35660,jefferson,16,1
35660,jefferson,17,1
35660,jefferson,18,1
36302,houston,19,2
36302,houston,20,2
36302,houston,21,2
36302,houston,22,2
36302,houston,23,2
36302,houston,24,2
36302,houston,25,2
36302,houston,26,2
36302,houston,27,2
36302,houston,28,2
36302,houston,29,2
36302,houston,30,2
36302,houston,31,2
36302,houston,32,2
36302,houston,33,2
36302,houston,34,2
36302,houston,35,2
36302,houston,36,2
36302,houston,37,2
36302,houston,38,2
36302,houston,39,2
36302,houston,40,2
36302,houston,41,2
36302,houston,42,2
36302,houston,43,2
x5957,marshall,44,3
35957,marshall,45,4
35957,marshall,46,4
35957,marshall,47,4
35957,marshall,48,4
35957,marshall,49,4
35957,marshall,50,4
35957,marshall,51,4
35957,marshall,52,4
35957,marshall,53,4
35957,marshall,54,4
35957,marshall,55,4
35957,marshall,56,4
35957,marshall,57,4
35957,marshall,58,4
35957,marshall,59,4
35957,marshall,60,4
35957,marshall,61,4
35957,marshall,62,4
3595x,marshall,63,5
35957,marshall,64,4
35957,marshall,65,4
35957,marshall,66,4
35957,mxrshxll,67,6
35957,marshall,68,4
35631,lauderdale,69,7
3563x,lauderdale,70,8
35631,lauderdale,71,7
35631,laudxrdalx,72,9
35631,lauderdale,73,7
35631,lauderdale,74,7
35631,lauderdale,75,7
35631,lauderdale,76,7
35631,laudexdale,77,10
35631,lauderdale,78,7
35631,lauderdale,79,7
35631,lauderdale,80,7
35631,lauderdale,81,7
35631,lauderdale,82,7
35631,lauderdale,83,7
35631,lauderdale,84,7
35631,lauderdale,85,7
35631,lauderdale,86,7
35631,lauderdale,87,7
35631,lauderdale,88,7
35631,lauderdale,89,7
35631,lauderdale,90,7
35631,lauderdale,91,7
35631,lauderdale,92,7
3563x,lauderdale,93,8
36467,covington,94,11
36467,covington,95,11
36467,covington,96,11
36467,covington,97,11
36467,covington,98,11
36467,covington,99,11
36467,covington,100,11
36467,covington,101,11
36467,covington,102,11
36467,covington,103,11
36467,covington,104,11
36467,covington,105,11
36467,covington,106,11
36467,covington,107,11
36467,covington,108,11
36467,covington,109,11
36467,covington,110,11
36467,covington,111,11
36467,covington,112,11
36467,covington,113,11
36467,covington,114,11
36467,covington,115,11
36467,covington,116,11
36467,covington,117,11
36467,covington,118,11
36049,crenshaw,119,12
36049,crenshaw,120,12
36049,crenshaw,121,12
36049,crenshaw,122,12
36049,crenshaw,123,12
36049,crenshaw,124,12
36049,crenshaw,125,12
36049,crenshaw,126,12
36049,crenshaw,127,12
36049,crenshaw,128,12
36049,crenshaw,129,12
36049,crenshaw,130,12
36049,crenshaw,131,12
36049,crenshaw,132,12
36049,crenshaw,133,12
36049,crenshaw,134,12
36049,crenshaw,135,12
36049,crxnshaw,136,13
36x49,crenshaw,137,14
36049,crenshaw,138,12
360x9,crenshaw,139,15
36049,crenshaw,140,12
36049,crenshaw,141,12
36049,crenshaw,142,12
36049,crenshaw,143,12
35640,morgan,144,16
35640,morgan,145,16
35640,morgan,146,16
35640,morgan,147,16
35640,morgan,148,16
3x640,morgan,149,17
35640,morgan,150,16
35640,morgan,151,16
35640,morgan,152,16
35640,morgan,153,16
35640,morgan,154,16
35640,morgan,155,16
35640,morgan,156,16
3x640,morgan,157,17
35640,morgan,158,16
35640,morgan,159,16
35640,morgan,160,16
35640,morgan,161,16
35640,morgan,162,16
35640,morgan,163,16
35640,morgan,164,16
35640,morgan,165,16
35640,morgan,166,16
35640,morgan,167,16
35640,morgan,168,16
35976,marshall,169,18
35976,marshall,170,18
35976,marshall,171,18
35976,marshall,172,18
35976,marshall,173,18
35976,marshall,174,18
35976,marshall,175,18
35976,marshall,176,18
35976,marshall,177,18
35976,marshall,178,18
35976,marshall,179,18
35976,marshall,180,18
35976,marshall,181,18
35976,marshall,182,18
35976,marshall,183,18
35976,marshall,184,18
35976,marshall,185,18
35976,marshall,186,18
35976,marshall,187,18
35976,marshall,188,18
35976,marshall,189,18
35976,marshall,190,18
35976,marshall,191,18
35976,marshall,192,18
35976,marshall,193,18
35235,jefferson,194,19
35235,jefferson,195,19
3x23x,jefferson,196,20
35235,jefferson,197,19
35235,jefferson,198,19
35235,jefferson,199,19
35235,jefferson,200,19
35235,jefferson,201,19
35235,jefferson,202,19
35235,jefferson,203,19
35235,jefferson,204,19
35235,jefferson,205,19
35235,jefferson,206,19
35235,jefferson,207,19
