0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
517,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342xx2100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-1,heart attack patients given aspirin at arrival,100%,134 patients,al_ami-1
518,10023,baptist medical center south,2105 east south boulevard,empty,empty,montxomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,100%,282 patients,al_ami-2
519,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,53 patients,al_ami-3
520,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,119 patients,al_ami-4
522,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yxs,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
523,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,heart attack,ami-8a,heart attack patients given pci within 90 minutes of arrival,96%,27 patients,al_ami-8a
524,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-1,heart failure patients given discharge instructions,100%,25x patients,al_hf-1
525,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,100%,292 patients,al_hf-2
526,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100%,98 patients,al_hf-3
528,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,monxgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-2,pneumonia patients assessed and given pneumococcal vaccination,94%,99 patients,al_pn-2
530,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-4,pneumonia patients given smoking cessation advice/counseling,94%,80 patients,al_pn-4
531,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,pneumonia,pn-5c,pneumonia patients given initial antibiotic(s) within 6 hours after arrival,95%,101 patients,al_pn-5c
534,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,97%,89 patients,al_scip-card-2
535,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,97%,412 patients,al_scip-inf-1
536,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,97%,423 patients,al_scip-inf-2
537,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yex,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),94%,392 patients,al_scip-inf-3
538,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,95%,125 patients,al_scip-inf-4
539,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),100%,575 patients,al_scip-inf-6
540,10023,baptist medical center south,2105 east south boulevard,empty,empty,montgomery,al,36116,montgomery,3342882100,acute care hospitals,voluntary non-profit - church,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,98%,179 patients,al_scip-vte-1
