act_dep_time,sched_arr_time,original_index,unique_index
7:16 a.m.,9:40 a.m.,0,0
7:58 p.m.,10:30 p.m.,1,1
,7:25 p.m.,2,2
6:54 a.m.,9:25 a.m.,3,3
12:41 p.m.,2:45 p.m.,4,4
,12/02/2011 6:55 a.m.,5,5
7:25 a.m.,9:55 a.m.,6,6
4:29 p.m.,7:55 p.m.,7,7
12:12 p.m.,3:50 p.m.,8,8
6:08 a.m.,9:20 a.m.,9,9
10:55 a.m.,2:20 p.m.,10,10
8:04 a.m.,11:05 a.m.,11,11
10:18 a.m.,12:10 p.m.,12,12
8:04 a.m.,8:00 a.m.,13,13
2:04 p.m.,2:35 p.m.,14,14
10:10 a.m.,12:35 p.m.,15,15
12:13 p.m.,2:00 p.m.,16,16
7:39 a.m.,11:10 a.m.,17,17
6:57 a.m.,7:45 a.m.,18,18
11:52 a.m.,2:25 p.m.,19,19
11:05 a.m.,2:45 p.m.,20,20
3:36 p.m.,4:00 p.m.,21,21
7:21 a.m.,10:35 a.m.,22,22
6:55 p.m.,9:10 p.m.,23,23
12:11 p.m.,3:15 p.m.,24,24
6:56 a.m.,7:30 a.m.,25,25
7:30 a.m.,9:35 a.m.,26,26
5:08 p.m.,8:05 p.m.,27,27
8:23 p.m.,9:45 p.m.,28,28
11:01 a.m.,2:59 p.m.,29,29
10:54 a.m.,12:55 p.m.,30,30
,12/02/2011 5:50 a.m.,31,31
,12/02/2011 12:15 a.m.,32,32
,11:50 p.m.,33,33
7:22 a.m.,10:34 a.m.,34,34
8:51 a.m.,11:50 a.m.,35,35
,3:50 p.m.,36,36
8:39 p.m.,9:20 p.m.,37,37
2:44 p.m.,4:05 p.m.,38,38
3:27 p.m.,5:55 p.m.,39,39
7:22 a.m.,11:35 a.m.,40,40
12:10 p.m.,2:15 p.m.,41,41
1:19 p.m.,2:35 p.m.,42,42
8:56 a.m.,10:40 a.m.,43,43
3:36 p.m.,6:30 p.m.,44,44
11:40 a.m.,5:25 p.m.,45,45
4:12 p.m.,6:40 p.m.,46,46
7:31 a.m.,3:30 p.m.,47,47
6:10 a.m.,6:40 a.m.,48,48
7:39 a.m.,10:45 a.m.,49,49
7:16 a.m.,,50,50
,10:15 p.m.,51,51
6:54 a.m.,,52,52
8:48 a.m.,,53,53
9:00 a.m.,,54,54
7:59 p.m.,,55,55
3:50 p.m.,,56,56
,2:50 p.m.,57,57
11:41 a.m.,,58,58
10:53 a.m.,,59,59
11:29 p.m.,,60,60
6:10 a.m.,,61,61
,5:35 a.m.,62,62
4:10 p.m.,,63,63
,9:21 a.m.,64,64
,1:16 p.m.,65,65
10:11 a.m.,,66,66
8:26 a.m.,,67,67
7:25 a.m.,,68,68
4:29 p.m.,,69,69
10:54 a.m.,,70,70
,7:03 p.m.,71,71
,11:35 a.m.,72,72
3:04 p.m.,,73,73
12:13 p.m.,,74,74
,1:17 p.m.,75,75
6:09 a.m.,,76,76
11:45 a.m.,,77,77
,10:20 a.m.,78,78
,10:54 a.m.,79,79
10:19 a.m.,,80,80
2:03 p.m.,,81,81
8:07 a.m.,,82,82
12:56 p.m.,,83,83
12:14 p.m.,,84,84
2:43 p.m.,,85,85
12:07 p.m.,,86,86
,8:22 p.m.,87,87
,8:56 p.m.,88,88
11:06 a.m.,,89,89
1:43 p.m.,,90,90
,4:00 p.m.,91,91
7:22 a.m.,,92,92
6:47 p.m.,,93,93
6:56 p.m.,,94,94
12:12 p.m.,,95,95
,12/2/11 12:21 a.m.,96,96
2:04 p.m.,,97,97
,12:18 p.m.,98,98
6:57 a.m.,,99,99
7:31 a.m.,,100,100
5:09 p.m.,,101,101
7:39 a.m.,,102,102
4:44 p.m.,,103,103
4:37 p.m.,,104,104
8:23 p.m.,,105,105
,6:44 p.m.,106,106
7:30 a.m.,,107,107
11:02 a.m.,,108,108
1:48 p.m.,,109,109
12:42 p.m.,,110,110
,4:17 p.m.,111,111
12:11 a.m.,,112,112
4:28 p.m.,,113,113
9:06 p.m.,,114,114
8:29 p.m.,,115,115
7:23 a.m.,,116,116
8:52 a.m.,,117,117
8:37 a.m.,,118,118
1:41 p.m.,,119,119
,4:48 p.m.,120,120
7:41 a.m.,,121,121
,12/2/11 5:11 a.m.,122,122
5:38 p.m.,,123,123
1:50 p.m. (+8:00),,124,124
11:47 a.m.,,125,125
8:40 p.m.,,126,126
3:04 p.m.,,127,73
,7:03 p.m.,128,71
,11:45 a.m.,129,127
2:44 p.m.,,130,128
3:28 p.m.,,131,129
7:22 a.m.,,132,92
12:11 p.m.,,133,130
8:04 a.m.,,134,131
,11:53 a.m.,135,132
1:20 p.m.,,136,133
8:55 a.m.,,137,134
3:38 p.m.,,138,135
8:04 a.m.,,139,131
4:12 p.m.,,140,136
11:52 a.m.,,141,137
,4:49 p.m.,142,138
11:55 a.m.,,143,139
10:55 a.m.,,144,140
6:58 a.m.,,145,141
,7:05 p.m.,146,142
6:11 a.m.,,147,143
7:40 a.m.,,148,144
7:32 a.m.,,149,145
7:16 a.m.,9:40 a.m.,150,0
7:42 p.m.,,151,146
6:54 a.m.,9:25 a.m.,152,3
8:49 a.m.,11:55 a.m.,153,147
9:01 a.m.,,154,148
7:59 p.m.,10:30 p.m.,155,149
12:12 p.m.,3:15 p.m.,156,150
3:50 p.m.,5:05 p.m.,157,151
12:37 p.m.,,158,152
10:53 a.m.,,159,59
Not Available,6:55 a.m. Dec 02,160,153
6:10 a.m.,,161,61
12:58 a.m.,,162,154
4:10 p.m.,6:46 p.m.,163,155
7:56 a.m.,,164,156
10:35 a.m.,,165,157
10:11 a.m.,12:35 p.m.,166,158
8:26 a.m.,,167,67
7:25 a.m.,9:55 a.m.,168,6
4:30 p.m.,7:55 p.m.,169,159
10:55 a.m.,,170,140
2:59 p.m.,,171,160
8:18 a.m.,,172,161
3:04 p.m.,,173,73
12:13 p.m.,3:50 p.m.,174,162
12:06 p.m.,,175,163
6:09 a.m.,9:20 a.m.,176,164
11:45 a.m.,4:57 p.m.,177,165
6:17 a.m.,,178,166
9:01 a.m.,,179,148
10:19 a.m.,12:10 p.m.,180,167
2:04 p.m.,2:35 p.m.,181,14
8:07 a.m.,,182,82
12:56 p.m.,,183,83
12:14 p.m.,,184,84
2:43 p.m.,6:15 p.m.,185,168
12:08 p.m.,1:45 p.m.,186,169
5:38 p.m.,,187,123
8:36 p.m.,,188,170
11:06 a.m.,2:45 p.m.,189,171
,4:52 p.m.,190,172
3:36 p.m.,,191,173
7:22 a.m.,10:35 a.m.,192,174
Not Available,7:25 p.m.,193,175
6:56 p.m.,9:10 p.m.,194,176
Not Available,12:21 a.m. Dec 02,195,177
2:38 p.m.,,196,178
9:58 a.m.,12:18 p.m.,197,179
6:57 a.m.,7:30 a.m.,198,180
7:31 a.m.,9:35 a.m.,199,181
5:09 p.m.,,200,101
4:46 p.m.,6:23 p.m.,201,182
4:37 p.m.,,202,104
8:23 p.m.,9:45 p.m.,203,28
10:37 a.m.,,204,183
7:31 a.m.,,205,100
11:02 a.m.,2:59 p.m.,206,184
1:48 p.m.,4:31 p.m.,207,185
12:42 p.m.,2:45 p.m.,208,186
2:01 p.m.,,209,187
,5:50 a.m.Dec 02,210,188
Not Available,12:29 a.m. Dec 02,211,189
Not Available,12:15 a.m. Dec 02,212,190
Not Available,11:50 p.m.,213,191
7:23 a.m.,10:34 a.m.,214,192
8:52 a.m.,11:50 a.m.,215,193
8:37 a.m.,,216,118
Not Available,3:50 p.m.,217,194
3:17 p.m.,,218,195
7:41 a.m.,,219,121
,5:11 a.m.Dec 02,220,196
,6:09 p.m.,221,197
12:45 a.m.,,222,198
11:47 a.m.,,223,125
8:40 p.m.,,224,126
3:04 p.m.,,225,73
2:59 p.m.,,226,160
9:43 a.m.,,227,199
2:44 p.m.,4:05 p.m.,228,38
3:28 p.m.,5:55 p.m.,229,200
7:23 a.m.,11:35 a.m.,230,201
12:11 p.m.,2:15 p.m.,231,202
8:05 a.m.,11:05 a.m.,232,203
9:05 a.m.,,233,204
1:20 p.m.,2:35 p.m.,234,205
8:56 a.m.,,235,206
3:38 p.m.,6:30 p.m.,236,207
8:04 a.m.,8:00 a.m.,237,13
11:41 a.m.,,238,58
4:12 p.m.,6:40 p.m.,239,46
11:52 a.m.,2:25 p.m.,240,19
7:40 a.m.,11:10 a.m.,241,208
4:02 p.m.,,242,209
11:55 a.m.,6:17 p.m.,243,210
10:55 a.m.,12:55 p.m.,244,211
6:58 a.m.,7:45 a.m.,245,212
4:15 p.m.,7:05 p.m.,246,213
6:11 a.m.,6:40 a.m.,247,214
7:40 a.m.,10:45 a.m.,248,215
7:32 a.m.,3:30 p.m.,249,216
,9:40 a.m.,250,217
6:54 a.m.,9:25 a.m.,251,3
8:49 a.m.,11:55 a.m.,252,147
,9:54 a.m.,253,218
,10:30 p.m.,254,219
6:56 p.m.,7:25 p.m.,255,220
,5:05 p.m.,256,221
,2:50 p.m.,257,57
,5:25 p.m.,258,222
,11:19 a.m.,259,223
11:58 p.m.,6:55 a.m.,260,224
,7:23 a.m.,261,225
,2:45 p.m.,262,226
,6:46 p.m.,263,227
,1:16 p.m.,264,65
,9:55 a.m.,265,228
,10:06 a.m.,266,229
