HospitalType,original_index,unique_index,count
acute care hospitals,0,0,968
acute care hospitals,1,0,968
acute care hospitals,2,0,968
acute care hospitals,3,0,968
acute care hospitals,4,0,968
acute care hospitals,5,0,968
acute care hospitals,6,0,968
acute care hospitals,7,0,968
acute care hospitals,8,0,968
acute care hospitals,9,0,968
acute care hospitals,10,0,968
acute care hospitals,11,0,968
acute care hospitals,12,0,968
acute care hospitals,13,0,968
acute care hospitals,14,0,968
acute care hospitals,15,0,968
acuxe care hospixals,16,1,8
acute care hospitals,17,0,968
acute care hospitals,18,0,968
acute care hospitals,19,0,968
acute care hospitals,20,0,968
acute care hospitals,21,0,968
acute care hospitals,22,0,968
acute care hospitals,23,0,968
acute care hospitals,24,0,968
acute care hospitals,25,0,968
acute care hospitals,26,0,968
acute care hospitals,27,0,968
acute care hospitals,28,0,968
acute care hospitals,29,0,968
acute care hospitals,30,0,968
acute care hospitals,31,0,968
acute care hospitals,32,0,968
acute care hospitals,33,0,968
acute care hospitals,34,0,968
acute care hospitals,35,0,968
acute care hospitals,36,0,968
acute care hospitals,37,0,968
acute care hospitals,38,0,968
acxte care hospitals,39,2,1
acute care hospitals,40,0,968
acute care hospitals,41,0,968
acute care hospitals,42,0,968
acute care hospitals,43,0,968
acute care hospitals,44,0,968
acute care hospitals,45,0,968
acute care hospitals,46,0,968
acute care hospitals,47,0,968
acute care hospitals,48,0,968
acute care hospitals,49,0,968
acute care hospitals,50,0,968
acute care hospitals,51,0,968
acute care hospitals,52,0,968
acute care hospitals,53,0,968
acute care hospitals,54,0,968
acute care hospitals,55,0,968
acute care hospitals,56,0,968
acute care hospitals,57,0,968
acute care hospitals,58,0,968
acute care hospitals,59,0,968
acute care hospitals,60,0,968
acute care hospitals,61,0,968
acute care hospitals,62,0,968
acute care hospitals,63,0,968
acute care hospitals,64,0,968
acute care hospitals,65,0,968
acute care hospitals,66,0,968
acute care hospitals,67,0,968
acute care hospitals,68,0,968
acute care hospitals,69,0,968
acute care hospitals,70,0,968
acute care hospitals,71,0,968
acute care hospitals,72,0,968
acute care hospitals,73,0,968
acute care hospitals,74,0,968
acute care hospitals,75,0,968
acute care hospitals,76,0,968
acute care hospitals,77,0,968
acute care hospitals,78,0,968
acute care hospitals,79,0,968
acute care hospitals,80,0,968
acute care hospitals,81,0,968
acute care hospitals,82,0,968
acute care hospitals,83,0,968
acute care hospitals,84,0,968
acute care hospitals,85,0,968
acute care hospitals,86,0,968
acute care hospitals,87,0,968
acute care hospitals,88,0,968
acute care hospitals,89,0,968
acute care hospitals,90,0,968
acute care hospitals,91,0,968
acute care hospitals,92,0,968
acute care hospitals,93,0,968
acute care hospitals,94,0,968
acute care hospitals,95,0,968
acute care hospitals,96,0,968
acute care hospitals,97,0,968
acute care hosxitals,98,3,5
acute care hospitals,99,0,968
acute care hospitals,100,0,968
acute care hospitals,101,0,968
acute care hospitals,102,0,968
acute care hospitals,103,0,968
acute care hospitals,104,0,968
acute care hospitals,105,0,968
acute care hospitals,106,0,968
acute care hospitals,107,0,968
acute care hospitals,108,0,968
acute care hospitals,109,0,968
acute care hospitals,110,0,968
acute care hospitals,111,0,968
acute care hospitals,112,0,968
acute care hospitals,113,0,968
acute care hospitals,114,0,968
acute care hospitals,115,0,968
acute care hospitals,116,0,968
acute care hospitals,117,0,968
acute care hospitals,118,0,968
acute care hospitals,119,0,968
acute care hospitals,120,0,968
acute care hospitals,121,0,968
acute care hospitals,122,0,968
acute care hospitals,123,0,968
acute care hospitals,124,0,968
acute care hospitals,125,0,968
acute care hospitals,126,0,968
acute care hospitals,127,0,968
acute care hospitals,128,0,968
acute care hospitals,129,0,968
acute care hospitals,130,0,968
acute care hospitals,131,0,968
acute care hospitals,132,0,968
acute care hospitals,133,0,968
acute care hospitals,134,0,968
acute care hospitals,135,0,968
acute care hospitals,136,0,968
acute care hospitals,137,0,968
acute care hospitals,138,0,968
acute care hospitals,139,0,968
acute care hospitals,140,0,968
acute care hospitals,141,0,968
acute care hospitals,142,0,968
acute care hospitals,143,0,968
acute care hospitals,144,0,968
acute care hospitals,145,0,968
acute care hospitals,146,0,968
acute care hospitals,147,0,968
acute care hospitals,148,0,968
acute care hospitals,149,0,968
acute care hospitals,150,0,968
acute care hospitals,151,0,968
acute care hospitals,152,0,968
acute care hospitals,153,0,968
acute care hospitals,154,0,968
acute care hospitals,155,0,968
acute care hospitals,156,0,968
acute care hospitals,157,0,968
acute care hospitals,158,0,968
acute care hospitals,159,0,968
acute care hospitals,160,0,968
acute care hospitals,161,0,968
acute care hospitals,162,0,968
acute care hospitals,163,0,968
acute care hospitals,164,0,968
acute care hospitals,165,0,968
acute care hospitals,166,0,968
acute care hospitals,167,0,968
acute care hospitals,168,0,968
acute care hospitals,169,0,968
acute care hospitals,170,0,968
acute care hospitals,171,0,968
acute care hospitals,172,0,968
acute care hospitals,173,0,968
acute care hospitals,174,0,968
acute care hospitals,175,0,968
acute care hospitals,176,0,968
acute care hospitals,177,0,968
acute care hospitals,178,0,968
acute care hospitals,179,0,968
acute care hospitals,180,0,968
acute care hospitals,181,0,968
acute care hospitals,182,0,968
acute care hospitals,183,0,968
acute care hospitals,184,0,968
acute care hospitals,185,0,968
acute care hospitals,186,0,968
acute care hospitals,187,0,968
acute care hospitals,188,0,968
acute care hospitals,189,0,968
acute care hospitals,190,0,968
acute care hospitals,191,0,968
acute care hospitals,192,0,968
acute care hospitals,193,0,968
acute care hospitals,194,0,968
acute care hospitals,195,0,968
acute care hospitals,196,0,968
acute care hospitals,197,0,968
acute care hospitals,198,0,968
acute care hosxitals,199,3,5
acute care hospitals,200,0,968
acute care hospitals,201,0,968
acute care hospitals,202,0,968
acute care hospitals,203,0,968
