PhoneNumber,HospitalType,original_index,unique_index,count
2053258100,acute care hospitals,0,0,25
2053258100,acute care hospitals,1,0,25
2053258100,acute care hospitals,2,0,25
2053258100,acute care hospitals,3,0,25
2053258100,acute care hospitals,4,0,25
2053258100,acute care hospitals,5,0,25
2053258100,acute care hospitals,6,0,25
2053258100,acute care hospitals,7,0,25
2563864556,acute care hospitals,8,1,23
2563864556,acute care hospitals,9,1,23
2563864556,acute care hospitals,10,1,23
2563864556,acute care hospitals,11,1,23
2563864556,acute care hospitals,12,1,23
2563864556,acute care hospitals,13,1,23
2563864556,acute care hospitals,14,1,23
2563864556,acute care hospitals,15,1,23
2563864556,acuxe care hospixals,16,2,1
2563864556,acute care hospitals,17,1,23
2563864556,acute care hospitals,18,1,23
3347938701,acute care hospitals,19,3,22
3347938701,acute care hospitals,20,3,22
3347938701,acute care hospitals,21,3,22
3347938701,acute care hospitals,22,3,22
3347938701,acute care hospitals,23,3,22
334793870x,acute care hospitals,24,4,1
3347938701,acute care hospitals,25,3,22
3347938701,acute care hospitals,26,3,22
3347938701,acute care hospitals,27,3,22
3347938701,acute care hospitals,28,3,22
3347938701,acute care hospitals,29,3,22
3347938701,acute care hospitals,30,3,22
3347938701,acute care hospitals,31,3,22
3347938701,acute care hospitals,32,3,22
3347938701,acute care hospitals,33,3,22
3347938701,acute care hospitals,34,3,22
3347938701,acute care hospitals,35,3,22
xx479x8701,acute care hospitals,36,5,1
3347938701,acute care hospitals,37,3,22
3347938701,acute care hospitals,38,3,22
3347938701,acxte care hospitals,39,6,1
3347938701,acute care hospitals,40,3,22
3347938701,acute care hospitals,41,3,22
3347938701,acute care hospitals,42,3,22
3347938701,acute care hospitals,43,3,22
2565938310,acute care hospitals,44,7,22
2565938310,acute care hospitals,45,7,22
2565938310,acute care hospitals,46,7,22
2565938310,acute care hospitals,47,7,22
2565938310,acute care hospitals,48,7,22
2565938310,acute care hospitals,49,7,22
2565938310,acute care hospitals,50,7,22
2565938310,acute care hospitals,51,7,22
2565938310,acute care hospitals,52,7,22
2565938310,acute care hospitals,53,7,22
2565938310,acute care hospitals,54,7,22
2565938310,acute care hospitals,55,7,22
2565938310,acute care hospitals,56,7,22
2x6x938310,acute care hospitals,57,8,2
2565938310,acute care hospitals,58,7,22
2565938310,acute care hospitals,59,7,22
2x6x938310,acute care hospitals,60,8,2
2565938310,acute care hospitals,61,7,22
2565938310,acute care hospitals,62,7,22
2565938310,acute care hospitals,63,7,22
2565938310,acute care hospitals,64,7,22
2565x38310,acute care hospitals,65,9,1
2565938310,acute care hospitals,66,7,22
2565938310,acute care hospitals,67,7,22
2565938310,acute care hospitals,68,7,22
2567688400,acute care hospitals,69,10,25
2567688400,acute care hospitals,70,10,25
2567688400,acute care hospitals,71,10,25
2567688400,acute care hospitals,72,10,25
2567688400,acute care hospitals,73,10,25
2567688400,acute care hospitals,74,10,25
2567688400,acute care hospitals,75,10,25
2567688400,acute care hospitals,76,10,25
2567688400,acute care hospitals,77,10,25
2567688400,acute care hospitals,78,10,25
2567688400,acute care hospitals,79,10,25
2567688400,acute care hospitals,80,10,25
2567688400,acute care hospitals,81,10,25
2567688400,acute care hospitals,82,10,25
2567688400,acute care hospitals,83,10,25
2567688400,acute care hospitals,84,10,25
2567688400,acute care hospitals,85,10,25
2567688400,acute care hospitals,86,10,25
2567688400,acute care hospitals,87,10,25
2567688400,acute care hospitals,88,10,25
2567688400,acute care hospitals,89,10,25
2567688400,acute care hospitals,90,10,25
2567688400,acute care hospitals,91,10,25
2567688400,acute care hospitals,92,10,25
2567688400,acute care hospitals,93,10,25
3344933541,acute care hospitals,94,11,23
3344933541,acute care hospitals,95,11,23
3344933541,acute care hospitals,96,11,23
3344933541,acute care hospitals,97,11,23
3344933541,acute care hosxitals,98,12,1
3344933541,acute care hospitals,99,11,23
3344933541,acute care hospitals,100,11,23
3344x33541,acute care hospitals,101,13,1
3344933541,acute care hospitals,102,11,23
3344933541,acute care hospitals,103,11,23
3344933541,acute care hospitals,104,11,23
3344933541,acute care hospitals,105,11,23
3344933541,acute care hospitals,106,11,23
3344933541,acute care hospitals,107,11,23
3344933541,acute care hospitals,108,11,23
3344933541,acute care hospitals,109,11,23
3344933541,acute care hospitals,110,11,23
3344933541,acute care hospitals,111,11,23
3344933541,acute care hospitals,112,11,23
3344933541,acute care hospitals,113,11,23
3344933541,acute care hospitals,114,11,23
3344933541,acute care hospitals,115,11,23
3344933541,acute care hospitals,116,11,23
3344933541,acute care hospitals,117,11,23
3344933541,acute care hospitals,118,11,23
3343353374,acute care hospitals,119,14,25
3343353374,acute care hospitals,120,14,25
3343353374,acute care hospitals,121,14,25
3343353374,acute care hospitals,122,14,25
3343353374,acute care hospitals,123,14,25
3343353374,acute care hospitals,124,14,25
3343353374,acute care hospitals,125,14,25
3343353374,acute care hospitals,126,14,25
3343353374,acute care hospitals,127,14,25
3343353374,acute care hospitals,128,14,25
3343353374,acute care hospitals,129,14,25
3343353374,acute care hospitals,130,14,25
3343353374,acute care hospitals,131,14,25
3343353374,acute care hospitals,132,14,25
3343353374,acute care hospitals,133,14,25
3343353374,acute care hospitals,134,14,25
3343353374,acute care hospitals,135,14,25
3343353374,acute care hospitals,136,14,25
3343353374,acute care hospitals,137,14,25
3343353374,acute care hospitals,138,14,25
3343353374,acute care hospitals,139,14,25
3343353374,acute care hospitals,140,14,25
3343353374,acute care hospitals,141,14,25
3343353374,acute care hospitals,142,14,25
