Score,original_index,unique_index,count
empty,0,0,167
empty,1,0,167
empty,2,0,167
empty,3,0,167
empty,4,0,167
empty,5,0,167
empty,6,0,167
empty,7,0,167
97%,8,1,49
92%,9,2,23
75%,10,3,7
100%,11,4,243
86%,12,5,9
empty,13,0,167
empty,14,0,167
80%,15,6,10
99%,16,7,43
92%,17,2,23
100%,18,4,243
98%,19,8,44
99%,20,7,43
96%,21,9,37
100%,22,4,243
99%,23,7,43
empty,24,0,167
72%,25,10,5
78%,26,11,9
99%,27,7,43
91%,28,12,21
100%,29,4,243
93%,30,13,24
89%,31,14,19
99%,32,7,43
92%,33,2,23
80%,34,6,10
84%,35,15,6
72%,36,10,5
94%,37,16,30
98%,38,8,44
88%,39,17,20
96%,40,9,37
90%,41,18,27
86%,42,5,9
83%,43,19,13
80%,44,6,10
60%,45,20,5
100%,46,4,243
empty,47,0,167
100%,48,4,243
empty,49,0,167
empty,50,0,167
78%,51,11,9
99%,52,7,43
90%,53,18,27
94%,54,16,30
97%,55,1,49
97%,56,1,49
97%,57,1,49
96%,58,9,37
92%,59,2,23
81%,60,21,5
36%,61,22,1
96%,62,9,37
93%,63,13,24
95%,64,23,30
empty,65,0,167
100%,66,4,243
78%,67,11,9
74%,68,24,4
97%,69,1,49
96%,70,9,37
93%,71,13,24
100%,72,4,243
96%,73,9,37
empty,74,0,167
98%,75,8,44
79%,76,25,7
97%,77,1,49
82%,78,26,11
100%,79,4,243
90%,80,18,27
95%,81,23,30
100%,82,4,243
96%,83,9,37
91%,84,12,21
88%,85,17,20
96%,86,9,37
99%,87,7,43
99%,88,7,43
94%,89,16,30
89%,90,14,19
100%,91,4,243
95%,92,23,30
92%,93,2,23
60%,94,20,5
50%,95,27,10
empty,96,0,167
empty,97,0,167
100%,98,4,243
empty,99,0,167
empty,100,0,167
98%,101,8,44
87%,102,28,20
64%,103,29,4
100%,104,4,243
87%,105,28,20
78%,106,11,9
100%,107,4,243
95%,108,23,30
88%,109,17,20
90%,110,18,27
91%,111,12,21
88%,112,17,20
91%,113,12,21
93%,114,13,24
empty,115,0,167
100%,116,4,243
87%,117,28,20
88%,118,17,20
0%,119,30,11
x00%,120,31,2
empty,121,0,167
empty,122,0,167
0%,123,30,11
empty,124,0,167
empty,125,0,167
4%,126,32,1
72%,127,10,5
75%,128,3,7
0%,129,30,11
25%,130,33,4
93%,131,13,24
33%,132,34,4
95%,133,23,30
62%,134,35,1
47%,135,36,2
100%,136,4,243
100%,137,4,243
100%,138,4,243
100%,139,4,243
empty,140,0,167
100%,141,4,243
100%,142,4,243
100%,143,4,243
100%,144,4,243
100%,145,4,243
100%,146,4,243
100%,147,4,243
100%,148,4,243
empty,149,0,167
empty,150,0,167
97%,151,1,49
98%,152,8,44
100%,153,4,243
100%,154,4,243
98%,155,8,44
100%,156,4,243
100%,157,4,243
9x%,158,37,2
100%,159,4,243
97%,160,1,49
67%,161,38,10
100%,162,4,243
x7%,163,39,3
80%,164,6,10
empty,165,0,167
100%,166,4,243
78%,167,11,9
78%,168,11,9
100%,169,4,243
100%,170,4,243
50%,171,27,10
100%,172,4,243
83%,173,19,13
