article_jvolumn,article_jissue,original_index,unique_index
64.0,12.0,0,0
,,1,1
54.0,4.0,2,2
84.0,0.0,3,3
33.0,4.0,4,4
10.0,4.0,5,5
29.0,2.0,6,6
164.0,1.0,7,7
25.0,7.0,8,8
79.0,938.0,9,9
14.0,5.0,10,10
8.0,6.0,11,11
92.0,6.0,12,12
8.0,5.0,13,13
35.0,8.0,14,14
140.0,5.0,15,15
7.0,,16,16
0.0,4.0,17,17
139.0,3.0,18,18
39.0,6.0,19,19
6.0,12.0,20,20
40.0,0.0,21,21
37.0,6.0,22,22
27.0,15.0,23,23
47.0,7.0,24,24
6.0,2.0,25,25
69.0,12.0,26,26
35.0,11.0,27,27
8.0,9.0,28,28
9.0,9.0,29,29
52.0,6.0,30,30
28.0,17.0,31,31
0.0,0.0,32,32
904.0,,33,33
24.0,2.0,34,34
3.0,3.0,35,35
88.0,2.0,36,36
64.0,2.0,37,37
8.0,10.0,38,38
15.0,3.0,39,39
90.0,1.0,40,40
34.0,10.0,41,41
34.0,7.0,42,42
27.0,1.0,43,43
42.0,12.0,44,44
71.0,10.0,45,45
0.0,0.0,46,32
10.0,,47,46
71.0,11.0,48,47
21.0,0.0,49,48
70.0,2.0,50,49
76.0,5.0,51,50
91.0,11.0,52,51
13.0,6.0,53,52
90.0,3.0,54,53
71.0,,55,54
18.0,6.0,56,55
7.0,0.0,57,56
0.0,0.0,58,32
22.0,12.0,59,57
6.0,1.0,60,58
12.0,2.0,61,59
26.0,2.0,62,60
116.0,1.0,63,61
28.0,,64,62
2008.0,,65,63
18.0,0.0,66,64
12.0,3.0,67,65
29.0,3.0,68,66
30.0,3.0,69,67
98.0,2.0,70,68
11.0,2.0,71,69
334.0,1.0,72,70
99.0,7.0,73,71
46.0,3.0,74,72
309.0,1.0,75,73
25.0,3.0,76,74
13.0,10.0,77,75
1.0,17.0,78,76
48.0,9.0,79,77
19.0,2.0,80,78
16.0,1.0,81,79
1.0,3.0,82,80
39.0,4.0,83,81
12.0,2.0,84,59
3.0,0.0,85,82
2.0,4.0,86,83
4.0,1.0,87,84
64.0,1.0,88,85
46.0,3.0,89,72
10.0,3.0,90,86
27.0,1.0,91,43
1.0,4.0,92,87
37.0,5.0,93,88
19.0,1.0,94,89
3.0,3.0,95,35
64.0,0.0,96,90
71.0,5.0,97,91
283.0,3.0,98,92
92.0,3.0,99,93
0.0,0.0,100,32
15.0,3.0,101,39
24.0,2.0,102,34
92.0,2.0,103,94
73.0,4.0,104,95
15.0,3.0,105,39
52.0,3.0,106,96
39.0,2.0,107,97
3.0,2.0,108,98
,2.0,109,99
63.0,9.0,110,100
3.0,10.0,111,101
103.0,0.0,112,102
38.0,4.0,113,103
28.0,4.0,114,104
0.0,0.0,115,32
41.0,1.0,116,105
13.0,0.0,117,106
11.0,3.0,118,107
0.0,0.0,119,32
85.0,5.0,120,108
106.0,2.0,121,109
13.0,,122,110
6.0,11.0,123,111
21.0,2.0,124,112
27.0,4.0,125,113
14.0,0.0,126,114
5.0,1.0,127,115
10.0,4.0,128,5
11.0,6.0,129,116
61.0,7.0,130,117
68.0,6.0,131,118
0.0,0.0,132,32
0.0,0.0,133,32
143.0,1.0,134,119
55.0,12.0,135,120
43.0,11.0,136,121
23.0,3.0,137,122
35.0,2.0,138,123
17.0,0.0,139,124
89.0,5.0,140,125
137.0,0.0,141,126
0.0,4.0,142,17
30.0,6.0,143,127
18.0,3.0,144,128
21.0,4.0,145,129
94.0,5.0,146,130
20.0,1.0,147,131
6.0,4.0,148,132
52.0,3.0,149,96
18.0,2.0,150,133
50.0,12.0,151,134
149.0,22.0,152,135
27.0,6.0,153,136
4.0,2.0,154,137
137.0,25.0,155,138
73.0,9.0,156,139
18.0,,157,140
80.0,4.0,158,141
18.0,2.0,159,133
19.0,11.0,160,142
8.0,5.0,161,13
30.0,0.0,162,143
24.0,0.0,163,144
3.0,3.0,164,35
45.0,2.0,165,145
15.0,1.0,166,146
2.0,8.0,167,147
0.0,7.0,168,148
0.0,0.0,169,32
23.0,7.0,170,149
12.0,2.0,171,59
34.0,6.0,172,150
8.0,4.0,173,151
27.0,2.0,174,152
850.0,,175,153
669.0,0.0,176,154
17.0,1.0,177,155
69.0,2.0,178,156
36.0,10.0,179,157
0.0,0.0,180,32
,,181,1
0.0,0.0,182,32
37.0,7.0,183,158
24.0,5.0,184,159
79.0,6.0,185,160
0.0,0.0,186,32
16.0,6.0,187,161
8.0,2.0,188,162
39.0,3.0,189,163
40.0,5.0,190,164
38.0,1.0,191,165
33.0,6.0,192,166
98.0,15.0,193,167
15.0,3.0,194,39
101.0,0.0,195,168
,,196,1
12.0,,197,169
260.0,1.0,198,170
18.0,4.0,199,171
15.0,,200,172
0.0,0.0,201,32
25.0,9.0,202,173
154.0,5.0,203,174
28.0,1.0,204,175
64.0,1.0,205,85
0.0,0.0,206,32
0.0,0.0,207,32
130.0,3.0,208,176
,,209,1
72.0,6.0,210,177
65.0,5.0,211,178
164.0,27.0,212,179
0.0,0.0,213,32
84.0,1.0,214,180
19.0,4.0,215,181
108.0,3.0,216,182
10.0,1.0,217,183
22.0,0.0,218,184
74.0,1.0,219,185
22.0,6.0,220,186
34.0,4.0,221,187
72.0,1.0,222,188
33.0,0.0,223,189
0.0,0.0,224,32
0.0,0.0,225,32
154.0,9.0,226,190
24.0,3.0,227,191
2.0,3.0,228,192
0.0,0.0,229,32
54.0,4.0,230,2
87.0,3.0,231,193
23.0,4.0,232,194
207.0,5.0,233,195
35.0,1.0,234,196
56.0,3.0,235,197
4.0,4.0,236,198
45.0,,237,199
4.0,7.0,238,200
44.0,9.0,239,201
8.0,,240,202
24.0,1.0,241,203
4.0,7.0,242,200
97.0,0.0,243,204
16.0,4.0,244,205
15.0,0.0,245,206
16.0,1.0,246,79
20.0,4.0,247,207
515.0,1.0,248,208
7.0,2.0,249,209
35.0,3.0,250,210
20.0,2.0,251,211
10.0,0.0,252,212
1.0,1.0,253,213
242.0,117.0,254,214
23.0,5.0,255,215
34.0,2.0,256,216
68.0,6.0,257,118
42.0,5.0,258,217
23.0,24.0,259,218
32.0,4.0,260,219
137.0,2.0,261,220
44.0,7.0,262,221
41.0,2.0,263,222
132.0,3.0,264,223
57.0,2.0,265,224
61.0,7.0,266,117
12.0,0.0,267,225
19.0,5.0,268,226
0.0,0.0,269,32
33.0,5.0,270,227
99.0,0.0,271,228
173.0,0.0,272,229
48.0,3.0,273,230
16.0,4.0,274,205
0.0,0.0,275,32
0.0,0.0,276,32
122.0,5.0,277,231
45.0,11.0,278,232
0.0,0.0,279,32
81.0,8.0,280,233
40.0,0.0,281,21
245.0,5.0,282,234
0.0,0.0,283,32
0.0,4.0,284,17
7.0,0.0,285,56
57.0,5.0,286,235
44.0,0.0,287,236
7.0,4.0,288,237
72.0,9.0,289,238
74.0,1.0,290,185
7.0,1.0,291,239
40.0,1.0,292,240
6.0,0.0,293,241
7.0,4.0,294,237
35.0,3.0,295,210
20.0,6.0,296,242
78.0,,297,243
189.0,4.0,298,244
26.0,4.0,299,245
34.0,2.0,300,216
127.0,8.0,301,246
15.0,2.0,302,247
31.0,2.0,303,248
118.0,1.0,304,249
86.0,7.0,305,250
0.0,0.0,306,32
56.0,6.0,307,251
49.0,6.0,308,252
147.0,6.0,309,253
0.0,0.0,310,32
16.0,10.0,311,254
,,312,1
0.0,0.0,313,32
49.0,0.0,314,255
270.0,2.0,315,256
22.0,8.0,316,257
56.0,8.0,317,258
43.0,0.0,318,259
24.0,3.0,319,191
40.0,10.0,320,260
42.0,4.0,321,261
41.0,3.0,322,262
,,323,1
13.0,0.0,324,106
0.0,0.0,325,32
18.0,3.0,326,128
0.0,0.0,327,32
15.0,2.0,328,247
0.0,0.0,329,32
20.0,2.0,330,211
26.0,,331,263
25.0,0.0,332,264
5.0,0.0,333,265
13.0,6.0,334,52
10.0,5.0,335,266
16.0,4.0,336,205
53.0,5.0,337,267
5.0,2.0,338,268
59.0,2.0,339,269
,,340,1
43.0,0.0,341,259
0.0,0.0,342,32
48.0,4.0,343,270
0.0,0.0,344,32
9.0,2.0,345,271
32.0,6.0,346,272
11.0,3.0,347,107
33.0,3.0,348,273
10.0,8.0,349,274
58.0,2.0,350,275
75.0,12.0,351,276
30.0,0.0,352,143
12.0,,353,169
29.0,4.0,354,277
11.0,3.0,355,107
,,356,1
50.0,4.0,357,278
108.0,2.0,358,279
82.0,2.0,359,280
,,360,1
25.0,11.0,361,281
53.0,1.0,362,282
319.0,17.0,363,283
43.0,4.0,364,284
2014.0,,365,285
3.0,3.0,366,35
43.0,10.0,367,286
41.0,11.0,368,287
24.0,6.0,369,288
56.0,3.0,370,197
161.0,5.0,371,289
47.0,0.0,372,290
9.0,0.0,373,291
16.0,2.0,374,292
61.0,133.0,375,293
26.0,5.0,376,294
7.0,12.0,377,295
49.0,1.0,378,296
7.0,5.0,379,297
102.0,5.0,380,298
61.0,5.0,381,299
80.0,8.0,382,300
9.0,3.0,383,301
43.0,1.0,384,302
45.0,0.0,385,303
21.0,0.0,386,48
21.0,3.0,387,304
0.0,0.0,388,32
46.0,3.0,389,72
19.0,2.0,390,78
113.0,2.0,391,305
21.0,3.0,392,304
29.0,4.0,393,277
129.0,6.0,394,306
88.0,1042.0,395,307
62.0,2.0,396,308
113.0,3.0,397,309
2.0,1.0,398,310
35.0,3.0,399,210
4.0,4.0,400,198
75.0,2.0,401,311
19.0,4.0,402,181
35.0,2.0,403,123
33.0,1.0,404,312
9.0,12.0,405,313
119.0,4.0,406,314
66.0,7.0,407,315
75.0,0.0,408,316
147.0,15.0,409,317
69.0,0.0,410,318
16.0,1.0,411,79
46.0,6.0,412,319
0.0,0.0,413,32
0.0,0.0,414,32
120.0,14.0,415,320
24.0,2.0,416,34
13.0,2.0,417,321
27.0,11.0,418,322
0.0,0.0,419,32
4.0,4.0,420,198
42.0,,421,323
37.0,8.0,422,324
32.0,1.0,423,325
24.0,0.0,424,144
127.0,5.0,425,326
0.0,0.0,426,32
9.0,6.0,427,327
176.0,4537.0,428,328
78.0,4.0,429,329
110.0,1.0,430,330
27.0,6.0,431,136
32.0,0.0,432,331
143.0,0.0,433,332
74.0,6.0,434,333
103.0,0.0,435,102
14.0,,436,334
124.0,0.0,437,335
20.0,0.0,438,336
86.0,12.0,439,337
63.0,0.0,440,338
115.0,2.0,441,339
15.0,6.0,442,340
13.0,3.0,443,341
19.0,10.0,444,342
,,445,1
7.0,,446,16
2007.0,0.0,447,343
21.0,3.0,448,304
21.0,14.0,449,344
42.0,3.0,450,345
13.0,9.0,451,346
12.0,11.0,452,347
3.0,0.0,453,82
48.0,1.0,454,348
37.0,2.0,455,349
28.0,4.0,456,104
23.0,12.0,457,350
10.0,4.0,458,5
69.0,17.0,459,351
20.0,1.0,460,131
110.0,5.0,461,352
17.0,12.0,462,353
30.0,1.0,463,354
6.0,0.0,464,241
49.0,5.0,465,355
95.0,0.0,466,356
16.0,2.0,467,292
21.0,3.0,468,304
21.0,1.0,469,357
40.0,5.0,470,164
48.0,5.0,471,358
348.0,6230.0,472,359
2013.0,,473,360
63.0,1.0,474,361
55.0,12.0,475,120
155.0,3.0,476,362
57.0,5.0,477,235
55.0,7.0,478,363
43.0,2.0,479,364
45.0,3.0,480,365
80.0,3.0,481,366
18.0,2.0,482,133
5.0,2.0,483,268
8.0,3.0,484,367
49.0,2.0,485,368
96.0,1.0,486,369
0.0,0.0,487,32
0.0,0.0,488,32
124.0,0.0,489,335
6.0,0.0,490,241
33.0,14.0,491,370
18.0,9.0,492,371
39.0,4.0,493,81
16.0,4.0,494,205
310.0,7.0,495,372
0.0,0.0,496,32
29.0,1.0,497,373
28.0,0.0,498,374
4.0,2.0,499,137
169.0,7.0,500,375
23.0,2.0,501,376
23.0,4.0,502,194
70.0,1.0,503,377
23.0,1.0,504,378
37.0,2.0,505,349
27.0,5.0,506,379
20.0,11.0,507,380
82.0,9.0,508,381
45.0,5.0,509,382
14.0,1.0,510,383
57.0,6.0,511,384
347.0,,512,385
79.0,3.0,513,386
