Condition,Sample,original_index,unique_index,count
surgical infection prevention,empty,0,0,33
surgical infection prevention,empty,1,0,33
surgical infection prevention,empty,2,0,33
surgical infection prevention,empty,3,0,33
surgical infection prevention,empty,4,0,33
surgical infection prevention,empty,5,0,33
surgical infection prevention,empty,6,0,33
surgical infection prevention,empty,7,0,33
heart attack,33 patients,8,1,1
heart attack,13 patients,9,2,3
heart attack,4 patients,10,3,6
heart attack,4 patients,11,3,6
heart attack,14 patients,12,4,3
heart attack,0 patients,13,5,76
heart attack,0 patients,14,5,76
heart failure,114 patients,15,6,1
heart failure,149 patients,16,7,1
heart failure,3x patients,17,8,1
heart failure,41 patients,18,9,2
heart attack,270 patients,19,10,1
heart attack,516 patients,20,11,1
heart attaxk,71 patients,21,12,1
hearx axxack,244 patients,22,13,1
heart attack,441 patients,23,14,1
heart attack,0 patients,24,5,76
heart attack,40 patients,25,15,1
heart failure,455 patients,26,16,1
heart failure,514 patients,27,17,1
heart failure,165 patients,28,18,1
heart failure,110 patients,29,19,2
pneumonia,191 patients,30,20,1
pneumonia,125 patients,31,21,3
pneumonia,107 patients,32,22,1
pneumonia,196 patients,33,23,2
pneumonia,147 patients,34,24,1
pneumonia,160 patients,35,25,2
surgical infection prevention,79 patients,36,26,1
surgical infection prevention,399 patients,37,27,1
surgical infection prevention,405 patients,38,28,2
surgical infection prevention,385 patients,39,29,1
surgical infection prevention,136 patients,40,30,2
surgical infection prevention,537 patients,41,31,1
surgical infection prevention,185 patients,42,32,1
surgical infection prevention,184 patients,43,33,1
heart attack,20 patients,44,34,1
heart attack,5 patients,45,35,5
heart attack,2 patients,46,36,12
heart attack,0 patients,47,5,76
heart attack,5 patients,48,35,5
heart attack,0 patients,49,5,76
heart attack,0 patients,50,5,76
heart failure,110 patients,51,19,2
heart failure,160 patients,52,37,1
heart failure,69 patients,53,38,3
heart failure,34 patients,54,39,4
pneumonia,172 patients,55,40,1
pneumonia,120 patients,56,41,1
pneumonia,98 patients,57,42,1
pneumonia,211 patients,58,43,1
pneumonia,175 patients,59,44,1
pneumonia,118 patients,60,45,1
surgical infection prevention,14 patients,61,46,5
surgical infection prevention,168 patients,62,47,1
surgical infection prevention,167 patients,63,48,1
surgical infection prevention,158 patients,64,49,1
surgical infection prevention,0 patients,65,50,22
surgical infection prevention,237 patients,66,51,1
surgical infection prevention,76 patients,67,52,3
surgical infection prevention,76 patients,68,52,3
heart attack,159 patients,69,53,1
heart attack,247 patients,70,54,1
heart attack,43 patients,71,55,1
heart attack,103 patients,72,56,1
hearx axxack,227 patients,73,57,1
heart attack,0 patients,74,5,76
heart attack,61 patients,75,58,1
heart failure,217 patients,76,59,1
heart failure,259 patients,77,60,2
heart failure,84 patients,78,61,2
heart failure,53 patients,79,62,1
pneumonia,174 patients,80,63,1
pneumonia,137 patients,81,64,1
pneumonia,65 patients,82,65,2
pneumonia,200 patients,83,66,1
pneumonia,138 patients,84,67,3
pneumonia,85 patients,85,68,5
surgical infection prevention,107 patients,86,69,2
surgical infection prevention,457 patients,87,70,1
surgical infection prevention,462 patients,88,71,1
surgical infection prevention,439 patients,89,72,1
surgical infection prevention,130 patients,90,73,1
surgical infection prevention,619 paxienxs,91,74,1
surgical infection prevention,242 patients,92,75,2
surgical infection prevention,242 patients,93,75,2
heart attack,5 patients,94,35,5
heart attack,2 patients,95,36,12
heart attack,0 patients,96,5,76
heart attack,0 patients,97,5,76
heart attack,2 patients,98,36,12
heart attack,0 patients,99,5,76
heart attack,0 patients,100,5,76
heart failure,59 patients,101,76,3
heart failure,76 patients,102,77,2
heart failure,14 patients,103,78,2
heart failure,8 patients,104,79,3
pneumonia,85 patients,105,68,5
pneumonia,64 patients,106,80,2
pneumonia,28 patients,107,81,2
