ProviderNumber,Score,original_index,unique_index
10018,empty,0,0
10018,empty,1,0
10018,empty,2,0
10018,empty,3,0
10018,empty,4,0
10018,empty,5,0
10018,empty,6,0
10018,empty,7,0
10019,97%,8,1
10019,92%,9,2
10019,75%,10,3
10019,100%,11,4
10019,86%,12,5
1xx19,empty,13,6
10019,empty,14,7
10019,80%,15,8
10019,99%,16,9
10019,92%,17,2
10019,100%,18,4
10001,98%,19,10
10001,99%,20,11
10001,96%,21,12
10001,100%,22,13
10001,99%,23,11
10001,empty,24,14
10001,72%,25,15
10001,78%,26,16
10001,99%,27,11
10001,91%,28,17
10001,100%,29,13
10001,93%,30,18
10001,89%,31,19
10001,99%,32,11
10001,92%,33,20
10001,80%,34,21
10001,84%,35,22
10001,72%,36,15
10001,94%,37,23
10001,98%,38,10
10001,88%,39,24
10001,96%,40,12
10001,90%,41,25
10001,86%,42,26
10001,83%,43,27
10005,80%,44,28
x0005,60%,45,29
10005,100%,46,30
10005,empty,47,31
10005,100%,48,30
10005,empty,49,31
10005,empty,50,31
10005,78%,51,32
10005,99%,52,33
10005,90%,53,34
10005,94%,54,35
10005,97%,55,36
10005,97%,56,36
10005,97%,57,36
10005,96%,58,37
10005,92%,59,38
10005,81%,60,39
10005,36%,61,40
10005,96%,62,37
10005,93%,63,41
10005,95%,64,42
10005,empty,65,31
10005,100%,66,30
10005,78%,67,32
10005,74%,68,43
10006,97%,69,44
10006,96%,70,45
10006,93%,71,46
10006,100%,72,47
10006,96%,73,45
10006,empty,74,48
10006,98%,75,49
10006,79%,76,50
10006,97%,77,44
10006,82%,78,51
10006,100%,79,47
10006,90%,80,52
1000x,95%,81,53
10006,100%,82,47
10006,96%,83,45
10006,91%,84,54
10006,88%,85,55
10006,96%,86,45
10006,99%,87,56
10006,99%,88,56
10006,94%,89,57
10006,89%,90,58
10006,100%,91,47
10006,95%,92,59
10006,92%,93,60
10007,60%,94,61
10007,50%,95,62
10007,empty,96,63
10007,empty,97,63
10007,100%,98,64
10007,empty,99,63
10007,empty,100,63
10007,98%,101,65
10007,87%,102,66
10007,64%,103,67
10007,100%,104,64
10007,87%,105,66
10007,78%,106,68
10007,100%,107,64
10007,95%,108,69
10007,88%,109,70
10007,90%,110,71
10007,91%,111,72
10007,88%,112,70
10007,91%,113,72
10007,93%,114,73
10007,empty,115,63
10007,100%,116,64
10007,87%,117,66
10007,88%,118,70
10008,0%,119,74
10008,x00%,120,75
10008,empty,121,76
10008,empty,122,76
10008,0%,123,74
