HospitalOwner,original_index,unique_index,count
voluntary non-profit - private,0,0,258
voluntary non-profit - private,1,0,258
voluntary non-profit - private,2,0,258
voluntary non-profit - private,3,0,258
voluntary non-profit - private,4,0,258
voluntary non-profit - private,5,0,258
voluntary non-profit - private,6,0,258
voluntary non-profit - private,7,0,258
government - hospital district or authority,8,1,198
government - hospital district or authority,9,1,198
government - hospital district or authority,10,1,198
government - hospital district or authority,11,1,198
government - hospital district or authority,12,1,198
government - hospital district or authority,13,1,198
government - hospital district or authority,14,1,198
government - hospital district or authority,15,1,198
government - hospital district or authority,16,1,198
government - hospital district or authority,17,1,198
government - hospital district or authority,18,1,198
government - hospital district or authority,19,1,198
government - hospital district or authority,20,1,198
government - hospital district or authority,21,1,198
government - hospxtal dxstrxct or authorxty,22,2,1
government - hospital district or authority,23,1,198
government - hospital district or authority,24,1,198
government - hospital district or authority,25,1,198
government - hospital district or authority,26,1,198
government - hospital xistrict or authority,27,3,1
government - hospital district or authority,28,1,198
government - hospital district or authority,29,1,198
government - hospital district or authority,30,1,198
governmenx - hospixal disxricx or auxhorixy,31,4,1
government - hospital district or authority,32,1,198
government - hospital district or authority,33,1,198
government - hospital district or authority,34,1,198
government - hospital district or authority,35,1,198
government - hospital district or authority,36,1,198
government - hospital district or authority,37,1,198
government - hospital district or authority,38,1,198
government - hospital district or authority,39,1,198
government - hospital district or authority,40,1,198
government - hospital district or authority,41,1,198
gxvernment - hxspital district xr authxrity,42,5,2
government - hospital district or authority,43,1,198
government - hospital district or authority,44,1,198
government - hospital district or authority,45,1,198
government - hospital district or authority,46,1,198
government - hospital district or authority,47,1,198
government - hospital district or authority,48,1,198
government - hospital district or authority,49,1,198
government - hospital district or authority,50,1,198
government - hospital district or authority,51,1,198
government - hospital district or authority,52,1,198
government - hospital district or authority,53,1,198
government - hospital district or authority,54,1,198
government - hospital district or authority,55,1,198
government - hospital district or authority,56,1,198
government - hospital district or authority,57,1,198
government - hospital district or authority,58,1,198
government - hospital district or authority,59,1,198
government - hospital district or authority,60,1,198
government - hospital district or authority,61,1,198
government - hospital district or authority,62,1,198
government - hospital district or authority,63,1,198
government - hospital district or authority,64,1,198
government - hospital district or authority,65,1,198
government - hospital district or authority,66,1,198
government - hospital district or authority,67,1,198
government - hospital district or authority,68,1,198
voluntary non-profit - other,69,6,122
voluntary non-profit - other,70,6,122
voluntary non-profit - other,71,6,122
voluntary non-profit - other,72,6,122
voluntary non-profit - other,73,6,122
voluntary non-profit - other,74,6,122
voluntary non-profit - other,75,6,122
voluntary non-profit - other,76,6,122
voluntary non-profit - other,77,6,122
voluntary non-profit - other,78,6,122
voluntary non-profit - other,79,6,122
voluntary non-profit - other,80,6,122
voluntary non-profit - other,81,6,122
voluntary non-profit - other,82,6,122
voluntary non-profit - other,83,6,122
voluntary non-profit - other,84,6,122
voluntary non-profit - other,85,6,122
voluntary non-profit - other,86,6,122
voluntary non-profit - other,87,6,122
voluntary non-profit - other,88,6,122
voluntary non-profit - other,89,6,122
voluntary non-profit - other,90,6,122
voluntary non-profit - other,91,6,122
voluntary non-profit - other,92,6,122
voluntary non-profit - other,93,6,122
voluntary non-profit - private,94,0,258
voluntary non-profit - private,95,0,258
voluntary non-profit - private,96,0,258
voluntary non-profit - private,97,0,258
voluntary non-profit - private,98,0,258
voluntary non-profit - private,99,0,258
voluntary non-profit - private,100,0,258
voluntary non-profit - private,101,0,258
voluntary non-profit - private,102,0,258
voluntary non-profit - private,103,0,258
voluntary non-profit - private,104,0,258
voluntary non-profit - private,105,0,258
voluntary non-profit - private,106,0,258
voluntary non-profit - private,107,0,258
voluntary non-profit - private,108,0,258
voluntary non-profit - private,109,0,258
voluntary non-profit - private,110,0,258
voluntary non-profit - private,111,0,258
voluntary non-profit - private,112,0,258
volunxary non-profix - privaxe,113,7,2
voluntary non-profit - private,114,0,258
voluntary non-profit - private,115,0,258
voluntary non-profit - private,116,0,258
voluntary non-profit - private,117,0,258
voluntary non-profit - private,118,0,258
government - federal,119,8,51
government - federal,120,8,51
government - federal,121,8,51
government - federal,122,8,51
government - federal,123,8,51
government - federal,124,8,51
government - federal,125,8,51
government - federal,126,8,51
government - federal,127,8,51
government - federal,128,8,51
government - federal,129,8,51
government - federal,130,8,51
government - federal,131,8,51
government - federal,132,8,51
government - federal,133,8,51
government - federal,134,8,51
government - federal,135,8,51
government - federal,136,8,51
government - federal,137,8,51
government - federal,138,8,51
government - federal,139,8,51
government - federal,140,8,51
government - federal,141,8,51
government - federal,142,8,51
government - federal,143,8,51
proprietary,144,9,209
proprietary,145,9,209
proprietary,146,9,209
proprietary,147,9,209
proprietary,148,9,209
proprietary,149,9,209
proprietary,150,9,209
proprietary,151,9,209
proprietary,152,9,209
proprietary,153,9,209
proprietary,154,9,209
proprietary,155,9,209
proprietary,156,9,209
pxopxietaxy,157,10,2
proprietary,158,9,209
proxrietary,159,11,3
proprietary,160,9,209
proprietary,161,9,209
xroprietary,162,12,1
proprietary,163,9,209
pxopxietaxy,164,10,2
proprietary,165,9,209
proprietary,166,9,209
proprietary,167,9,209
proprietary,168,9,209
government - hospital district or authority,169,1,198
government - hospital district or authority,170,1,198
government - hospital district or authority,171,1,198
government - hospital district or authority,172,1,198
government - hospital district or authority,173,1,198
government - hospital district or authority,174,1,198
government - hospital district or authority,175,1,198
government - hospital district or authority,176,1,198
government - hospital district or authority,177,1,198
government - hospital district or authority,178,1,198
government - hospital district or authority,179,1,198
government - hospital district or authority,180,1,198
government - hospital district or authority,181,1,198
government - hospital district or authority,182,1,198
government - hospital district or authority,183,1,198
government - hospital district or authority,184,1,198
government - hospital district or authority,185,1,198
government - hospital district or authority,186,1,198
government - hospital district or authority,187,1,198
government - hospital district or authority,188,1,198
government - hospital district or authority,189,1,198
government - hospital district or authority,190,1,198
government - hospital district or authority,191,1,198
government - hospital district or authority,192,1,198
government - hospital district or authority,193,1,198
voluntary non-profit - private,194,0,258
voluntary non-profit - private,195,0,258
voluntary non-profit - private,196,0,258
voluntary non-profit - private,197,0,258
voluntary non-profit - private,198,0,258
voluntary non-profit - private,199,0,258
voluntary non-profit - private,200,0,258
voluntary non-profit - private,201,0,258
voluntary non-profit - private,202,0,258
voluntary non-profit - private,203,0,258
voluntary non-profit - private,204,0,258
voluntary non-profit - private,205,0,258
voluntary non-profit - private,206,0,258
voluntary non-profit - private,207,0,258
voluntary non-profit - private,208,0,258
voluntary non-profit - private,209,0,258
voluntary non-profit - private,210,0,258
voluntary non-profit - private,211,0,258
voluntary non-profit - private,212,0,258
voluntary non-profit - private,213,0,258
voluntary non-profit - private,214,0,258
voluntary non-profit - private,215,0,258
volunxary non-profix - privaxe,216,7,2
voluntary non-profit - private,217,0,258
voluntary nonxprofit x private,218,13,1
voluntary non-profit - church,219,14,72
voluntary non-profit - church,220,14,72
voluntaryxnon-profitx-xchurch,221,15,1
voluntary non-profit - church,222,14,72
voluntary non-profit - church,223,14,72
voluntary non-profit - church,224,14,72
voluntary non-profit - church,225,14,72
voluntary non-profit - church,226,14,72
voluntary non-profit - church,227,14,72
voluntary non-profit - church,228,14,72
voluntary non-profit - church,229,14,72
voluntary non-profit - church,230,14,72
voluntary non-profit - church,231,14,72
voluntary non-profit - church,232,14,72
voluntary non-profit - church,233,14,72
voluntary non-profit - church,234,14,72
voluntary non-profit - church,235,14,72
voluntary non-profit - church,236,14,72
voluntary non-profit - church,237,14,72
voxuntary non-profit - church,238,16,1
voluntary non-profit - church,239,14,72
voluntary non-profit - church,240,14,72
voluntary non-profit - church,241,14,72
voluntary non-profit - church,242,14,72
voluntary non-profit - church,243,14,72
government - federal,244,8,51
government - federal,245,8,51
government - federal,246,8,51
governxent - federal,247,17,1
government - federal,248,8,51
government - federal,249,8,51
government - federal,250,8,51
government - federal,251,8,51
government - federal,252,8,51
government - federal,253,8,51
government - federal,254,8,51
government - federal,255,8,51
government - federal,256,8,51
government - federal,257,8,51
government - federal,258,8,51
government - federal,259,8,51
government - federal,260,8,51
government - federal,261,8,51
government - federal,262,8,51
government - federal,263,8,51
government - federal,264,8,51
government - federal,265,8,51
government - federal,266,8,51
government - federal,267,8,51
government - federal,268,8,51
voluntary non-profit - church,269,14,72
voluntary non-profit - church,270,14,72
voluntary non-profit - church,271,14,72
voluntary non-profit - church,272,14,72
voluntary non-profit - church,273,14,72
voluntary non-profit - church,274,14,72
voluntary non-profit - church,275,14,72
voluntary non-profit - church,276,14,72
voluntary non-profit - church,277,14,72
voluntary non-profit - church,278,14,72
voluntary non-profit - church,279,14,72
voluntary non-profit - church,280,14,72
voluntary non-profit - church,281,14,72
voluntary non-profit - church,282,14,72
voluntary non-profit - church,283,14,72
voluntary non-profit - church,284,14,72
voluntary non-profit - church,285,14,72
voluntary non-profit - church,286,14,72
voluntary non-profit - church,287,14,72
voluntary non-profit - church,288,14,72
voluntary non-profit - church,289,14,72
voluntary non-profit - church,290,14,72
voluntary non-profit - church,291,14,72
voluntary non-profit - church,292,14,72
voluntary non-profit - church,293,14,72
voluntary non-profit - private,294,0,258
voluntary non-profit - private,295,0,258
voluntary non-profit - private,296,0,258
voluntary non-profit - private,297,0,258
voluntary non-profit - private,298,0,258
voluntary non-profit - private,299,0,258
voluntary non-profit - private,300,0,258
voluntary non-profit - private,301,0,258
voluntary non-profit - private,302,0,258
voluntary non-profit - private,303,0,258
voluntary non-profit - private,304,0,258
voluntary non-profit - private,305,0,258
voluntary non-profit - private,306,0,258
voluntary non-profit - private,307,0,258
voluntary non-profit - private,308,0,258
voluntary non-profit - private,309,0,258
voluntary non-profit - private,310,0,258
proprietary,311,9,209
proprietary,312,9,209
prxprietary,313,18,3
proprietary,314,9,209
