Address3,State,original_index,unique_index,count
empty,al,0,0,954
empty,al,1,0,954
empty,al,2,0,954
empty,al,3,0,954
empty,al,4,0,954
empty,al,5,0,954
empty,al,6,0,954
empty,al,7,0,954
empty,al,8,0,954
empty,al,9,0,954
empty,al,10,0,954
empty,al,11,0,954
empty,al,12,0,954
empty,al,13,0,954
empty,al,14,0,954
empty,al,15,0,954
empty,al,16,0,954
empty,al,17,0,954
empty,al,18,0,954
empty,al,19,0,954
empty,al,20,0,954
empty,al,21,0,954
empty,al,22,0,954
empty,al,23,0,954
empty,al,24,0,954
empty,al,25,0,954
empty,al,26,0,954
empty,al,27,0,954
empty,al,28,0,954
empty,al,29,0,954
empty,al,30,0,954
empty,al,31,0,954
empty,al,32,0,954
empty,al,33,0,954
empty,al,34,0,954
empty,al,35,0,954
empty,al,36,0,954
empty,al,37,0,954
empty,al,38,0,954
empty,al,39,0,954
empty,al,40,0,954
empty,al,41,0,954
empty,xl,42,1,16
empty,al,43,0,954
empty,al,44,0,954
empty,al,45,0,954
empty,xl,46,1,16
empty,al,47,0,954
empty,al,48,0,954
empty,al,49,0,954
empty,xl,50,1,16
empty,al,51,0,954
empty,al,52,0,954
empty,al,53,0,954
empty,al,54,0,954
empty,al,55,0,954
empty,al,56,0,954
empty,al,57,0,954
empty,al,58,0,954
empty,al,59,0,954
empty,al,60,0,954
empty,al,61,0,954
empty,al,62,0,954
empty,al,63,0,954
empty,al,64,0,954
empty,al,65,0,954
empty,al,66,0,954
empty,al,67,0,954
empty,al,68,0,954
empty,al,69,0,954
empty,al,70,0,954
empty,al,71,0,954
empty,al,72,0,954
empty,al,73,0,954
empty,al,74,0,954
empty,al,75,0,954
empty,al,76,0,954
empty,al,77,0,954
empty,al,78,0,954
empty,al,79,0,954
empty,al,80,0,954
empty,al,81,0,954
empty,al,82,0,954
empty,xl,83,1,16
empty,al,84,0,954
empty,al,85,0,954
empty,al,86,0,954
empty,al,87,0,954
empty,al,88,0,954
empty,al,89,0,954
empty,al,90,0,954
empty,al,91,0,954
empty,al,92,0,954
empty,al,93,0,954
empty,al,94,0,954
empty,al,95,0,954
empty,al,96,0,954
empty,al,97,0,954
empty,xl,98,1,16
empty,al,99,0,954
empty,al,100,0,954
empty,al,101,0,954
empty,al,102,0,954
empty,al,103,0,954
empty,al,104,0,954
empty,al,105,0,954
empty,al,106,0,954
empty,al,107,0,954
empty,al,108,0,954
empty,al,109,0,954
empty,al,110,0,954
empty,al,111,0,954
empty,al,112,0,954
empty,al,113,0,954
empty,al,114,0,954
empty,al,115,0,954
empty,al,116,0,954
empty,al,117,0,954
empty,al,118,0,954
empty,ax,119,2,10
empty,al,120,0,954
empty,al,121,0,954
empty,al,122,0,954
empty,al,123,0,954
empty,al,124,0,954
empty,al,125,0,954
empty,al,126,0,954
empty,al,127,0,954
empty,al,128,0,954
empty,al,129,0,954
empty,al,130,0,954
empty,al,131,0,954
empty,al,132,0,954
empty,al,133,0,954
empty,al,134,0,954
empty,al,135,0,954
empty,al,136,0,954
empty,al,137,0,954
empty,al,138,0,954
empty,al,139,0,954
empty,ax,140,2,10
empty,al,141,0,954
empty,al,142,0,954
empty,al,143,0,954
empty,al,144,0,954
empty,al,145,0,954
empty,al,146,0,954
empty,al,147,0,954
empty,al,148,0,954
empty,al,149,0,954
empty,al,150,0,954
empty,al,151,0,954
empty,al,152,0,954
empty,al,153,0,954
empty,al,154,0,954
empty,al,155,0,954
empty,al,156,0,954
empty,al,157,0,954
empty,al,158,0,954
empty,al,159,0,954
empty,al,160,0,954
empty,al,161,0,954
empty,al,162,0,954
empty,al,163,0,954
empty,al,164,0,954
empty,ax,165,2,10
empty,al,166,0,954
empty,al,167,0,954
empty,al,168,0,954
empty,al,169,0,954
empty,al,170,0,954
empty,al,171,0,954
empty,al,172,0,954
empty,al,173,0,954
empty,al,174,0,954
empty,al,175,0,954
empty,al,176,0,954
empty,al,177,0,954
empty,al,178,0,954
empty,al,179,0,954
empty,al,180,0,954
empty,al,181,0,954
empty,xl,182,1,16
empty,al,183,0,954
empty,al,184,0,954
empty,al,185,0,954
empty,al,186,0,954
empty,al,187,0,954
empty,al,188,0,954
empty,al,189,0,954
empty,al,190,0,954
empty,al,191,0,954
empty,al,192,0,954
empty,al,193,0,954
empty,al,194,0,954
empty,al,195,0,954
empty,al,196,0,954
empty,al,197,0,954
empty,al,198,0,954
empty,al,199,0,954
empty,al,200,0,954
empty,al,201,0,954
empty,al,202,0,954
empty,al,203,0,954
empty,al,204,0,954
empty,al,205,0,954
empty,al,206,0,954
empty,al,207,0,954
empty,al,208,0,954
empty,al,209,0,954
empty,al,210,0,954
