flight,sched_dep_time,original_index,unique_index
AA-3859-IAH-ORD,7:10 a.m.,0,0
AA-1733-ORD-PHX,7:45 p.m.,1,1
AA-1640-MIA-MCO,6:30 p.m.,2,2
AA-518-MIA-JFK,6:40 a.m.,3,3
AA-3756-ORD-SLC,12:15 p.m.,4,4
AA-204-LAX-MCO,11:25 p.m.,5,5
AA-3468-CVG-MIA,7:00 a.m.,6,6
AA-484-DFW-MIA,4:15 p.m.,7,7
AA-446-DFW-PHL,11:50 a.m.,8,8
AA-466-IAH-MIA,6:00 a.m.,9,9
AA-1886-BOS-MIA,10:45 a.m.,10,10
AA-2957-DFW-CVG,7:55 a.m.,11,11
AA-1664-MIA-ATL,10:15 a.m.,12,12
AA-3979-CVG-ORD,7:30 a.m.,13,13
AA-1279-DFW-PHX,1:00 p.m.,14,14
AA-616-DFW-DTW,9:05 a.m.,15,15
AA-4344-ORD-DTW,11:45 a.m.,16,16
AA-2525-DFW-MIA,7:25 a.m.,17,17
AA-404-MIA-MCO,6:45 a.m.,18,18
AA-271-MIA-LAX,11:35 a.m.,19,19
AA-2050-ORD-MIA,10:40 a.m.,20,20
AA-4330-CVG-ORD,3:35 p.m.,21,21
AA-1434-DFW-MCO,7:15 a.m.,22,22
AA-4307-ORD-DTW,6:45 p.m.,23,23
AA-3-JFK-LAX,12:00 p.m.,24,24
AA-3842-MSP-ORD,6:00 a.m.,25,25
AA-643-MIA-ORD,7:10 a.m.,26,26
AA-1007-MIA-PHX,4:55 p.m.,27,27
AA-1221-MCO-ORD,8:00 p.m.,28,28
AA-400-DFW-JFK,10:40 a.m.,29,29
AA-4198-ORD-CLE,10:40 a.m.,30,30
AA-1522-SFO-ORD,11:55 p.m.,31,31
AA-3823-LAX-DEN,9:00 p.m.,32,32
AA-2312-DFW-DTW,8:25 p.m.,33,33
AA-1165-JFK-MIA,6:59 a.m.,34,34
AA-431-MIA-SFO,8:35 a.m.,35,35
AA-649-ORD-SNA,1:30 p.m.,36,36
AA-3063-SLC-LAX,8:20 p.m.,37,37
AA-3804-PHL-ORD,2:35 p.m.,38,38
AA-1917-JFK-MCO,2:55 p.m.,39,39
AA-2268-PHX-ORD,7:15 a.m.,40,40
AA-4277-CVG-JFK,12:10 p.m.,41,41
AA-789-ORD-DEN,1:05 p.m.,42,42
AA-415-BOS-ORD,8:35 a.m.,43,43
AA-85-JFK-SFO,3:05 p.m.,44,44
AA-1544-SAN-ORD,11:25 a.m.,45,45
AA-3786-IAH-ORD,4:00 p.m.,46,46
AA-222-LAX-BOS,7:10 a.m.,47,47
AA-3809-PHX-LAX,6:00 a.m.,48,48
AA-59-JFK-SFO,7:10 a.m.,49,49
AA-3859-IAH-ORD,,50,50
CO-1586-IAH-MCO,7:00 p.m.,51,51
AA-518-MIA-JFK,,52,52
UA-397-JFK-SFO,,53,53
UA-3925-IAD-ORF,,54,54
AA-1733-ORD-PHX,,55,55
UA-2830-MCO-CLT,,56,56
CO-58-DEN-IAH,11:25 a.m.,57,57
AA-1544-SAN-ORD,,58,58
UA-5487-SFO-MRY,,59,59
AA-204-LAX-MCO,,60,60
UA-414-LAX-SFO,,61,61
CO-1614-LAX-IAH,12:30 a.m.,62,62
UA-2726-FLL-PHL,,63,63
CO-52-IAH-LAX,7:35 a.m.,64,64
CO-1090-BOS-IAH,9:45 a.m.,65,65
AA-616-DFW-DTW,,66,66
UA-3515-IAD-MSP,,67,67
AA-3468-CVG-MIA,,68,68
AA-484-DFW-MIA,,69,69
AA-1886-BOS-MIA,,70,70
