0,1,2,3,4,5,6,7,8,9,10
434500,Too little but not too late: results of a literature review to improve routine immunization programs in developing countries,,,,,0.0,0.0,,,{NULL}
724055,A systematic review and meta-analysis of trials of treatment of depression from India,English,Indian Journal of Psychiatry,,,56.0,0.0,1/1/14,29-38,"{""S. Sarkar"",""S. Grover""}"
731703,Substance Abuse and Trauma in Incarcerated Women,,,,,0.0,0.0,1/1/11,,"{""NCT01413984 ""}"
53877,"Journal of Health Communication : International Perspectives The Effect of an Internet-Based , Stage- Matched Message Intervention on Young Taiwanese Women ' s Physical Activity",,,,,0.0,0.0,1/1/14,37-41 DO  - 10.1080/10810730902805788,"{""Sheu-jen Huang"",""Maiga Chang"",""Wen-chi Hung"",""Janie Chang""}"
954388,Optimal Starting Age for School Attendance: FY76 Issue Analysis,English,,,,0.0,0.0,1/1/74,46,"{""Marilou Madden""}"
893227,A screening methodology for crowdsourcing video QoE evaluation,,,,,0.0,0.0,1/1/14,,"{""E. Anegekuh, L., Sun, L., Ifeachor""}"
317155,Predictors of intention to adhere to physiotherapy among women with urinary incontinence.,,,,,0.0,0.0,,,{NULL}
467318,The fundamental role of bone morphogenetic protein 15 in ovarian function and its      involvement in female fertility disorders.,,,,,0.0,0.0,,,{NULL}
456934,Same-Day Discharge After Percutaneous Coronary Intervention: A Meta-Analysis.,,,,,0.0,0.0,,,{NULL}
134738,Are stretches effective in the prevention and treatment of glenohumeral internal rotation deficit?,,,,,17.0,0.0,1/1/12,261-270 ST  - Are stretches effective in the prevention and treatment of glenohumeral internal rotation deficit?-,"{""Stuart Calver"",""Julia Nichols"",""Rachel C1  - Fr̴n systematiska ̦versikter -șkningen CN  - Cinahl DB  - c8h DO  - 10.1179/1743288X12Y.0000000021 DP  - EBSCOhost Chester""}"
452432,Feverfew (Tanacetum parthenium L.): A systematic review.,,,,,0.0,0.0,,,{NULL}
193292,CSM2004 best platform,,,,,4.0,0.0,1/1/04,10-10 ST  - CSM2004 best platform-,{NULL}
446026,Use of implantable cardioverter-defibrillators for primary prevention in older patients: A systematic literature review and meta-analysis.,,,,,0.0,0.0,,,{NULL}
455697,Systematic review of occupational engagement and health outcomes among community-dwelling older adults,,,,,0.0,0.0,,,{NULL}
438808,Descemet's stripping endothelial keratoplasty: safety and outcomes: a report by the American Academy of Ophthalmology,,,,,0.0,0.0,,,{NULL}
450760,"The value of transurethral bladder biopsy after intravesical bacillus Calmette-Guerin instillation therapy for nonmuscle invasive bladder cancer: A retrospective, single center study and cumulative analysis of the literature.",,,,,0.0,0.0,,,{NULL}
465756,Non-surgical treatments for anal fissure in adults.,,,,,0.0,0.0,,,{NULL}
441902,Pharmacotherapy for inherited colorectal cancer. [Review] [42 refs],,,,,0.0,0.0,,,{NULL}
431348,Atomoxetine treatment of children and adolescents with ADHD: Clinical questions and answers. (German),,,,,0.0,0.0,,,{NULL}
441393,The novel applications of the quantitative analysis of neutrophil cell surface FcgammaRI (CD64) to the diagnosis of infectious and inflammatory diseases.,,,,,0.0,0.0,,,{NULL}
455406,Green tea in dermatology. [Review],,,,,0.0,0.0,,,{NULL}
379988,The combined role of serotonin and interleukin-6 as biomarker for autism,,,,,284.0,0.0,1/22/15,290-296,"{""Y.-J. Du"",""X.-M. Zhu"",""B. Sang"",""C.-J. Yang"",""C.-L. Liu""}"
463556,Structural brain changes associated with antipsychotic treatment in schizophrenia      as revealed by voxel-based morphometric MRI: an activation likelihood estimation       meta-analysis.,,,,,0.0,0.0,,,{NULL}
448384,Are birth kits a good idea? A systematic review of the evidence.,,,,,0.0,0.0,,,{NULL}
433039,Palliative sedation therapy in the last weeks of life: a literature review and recommendations for standards.,,,,,0.0,0.0,,,{NULL}
