article_jvolumn,article_jcreated_at,original_index,unique_index
64.0,1/1/71,0,0
,4/2/15,1,1
54.0,12/1/06,2,2
84.0,1/1/13,3,3
33.0,10/1/15,4,4
10.0,1/1/09,5,5
29.0,1/1/73,6,6
164.0,7/1/01,7,7
25.0,1/1/11,8,8
79.0,1/1/06,9,9
14.0,1/1/09,10,10
8.0,1/1/15,11,11
92.0,1/1/13,12,12
8.0,1/1/11,13,13
35.0,1/1/11,14,14
140.0,5/1/99,15,15
7.0,1/1/12,16,16
0.0,1/1/05,17,17
139.0,1/1/97,18,18
39.0,6/1/07,19,19
6.0,12/1/13,20,20
40.0,1/1/11,21,21
37.0,12/1/14,22,22
27.0,5/20/09,23,23
47.0,1/1/12,24,24
6.0,3/1/14,25,25
69.0,12/1/08,26,26
35.0,1/1/86,27,27
8.0,1/1/13,28,28
9.0,1/1/09,29,29
52.0,12/1/08,30,30
28.0,9/1/07,31,31
0.0,1/1/74,32,32
904.0,5/1/00,33,33
24.0,2/1/15,34,34
3.0,1/1/08,35,35
88.0,1/1/14,36,36
64.0,2/1/09,37,37
8.0,1/1/95,38,38
15.0,6/1/08,39,39
90.0,,40,40
34.0,10/1/14,41,41
34.0,1/1/97,42,42
27.0,1/1/14,43,43
42.0,1/1/10,44,44
71.0,5/15/11,45,45
0.0,,46,46
10.0,1/1/13,47,47
71.0,11/1/10,48,48
21.0,1/1/10,49,49
70.0,1/1/99,50,50
76.0,1/1/94,51,51
91.0,11/1/12,52,52
13.0,11/1/10,53,53
90.0,1/1/07,54,54
71.0,12/4/14,55,55
18.0,9/1/06,56,56
7.0,1/1/12,57,16
0.0,10/1/10,58,57
22.0,12/1/14,59,58
6.0,1/1/15,60,59
12.0,4/1/02,61,60
26.0,1/1/11,62,61
116.0,1/1/05,63,62
28.0,1/1/09,64,63
2008.0,1/1/08,65,64
18.0,1/1/08,66,65
12.0,1/1/10,67,66
29.0,6/1/12,68,67
30.0,3/1/99,69,68
98.0,7/15/03,70,69
11.0,1/1/12,71,70
334.0,11/15/13,72,71
99.0,1/1/15,73,72
46.0,7/1/03,74,73
309.0,1/1/13,75,74
25.0,1/1/11,76,8
13.0,1/1/06,77,75
1.0,11/1/96,78,76
48.0,1/1/08,79,77
19.0,1/1/10,80,78
16.0,2/1/07,81,79
1.0,1/1/05,82,80
39.0,5/1/15,83,81
12.0,1/1/14,84,82
3.0,1/1/08,85,35
