article_jvolumn,original_index,unique_index
64.0,0,0
,1,1
54.0,2,2
84.0,3,3
33.0,4,4
10.0,5,5
29.0,6,6
164.0,7,7
25.0,8,8
79.0,9,9
14.0,10,10
8.0,11,11
92.0,12,12
8.0,13,11
35.0,14,13
140.0,15,14
7.0,16,15
0.0,17,16
139.0,18,17
39.0,19,18
6.0,20,19
40.0,21,20
37.0,22,21
27.0,23,22
47.0,24,23
6.0,25,19
69.0,26,24
35.0,27,13
8.0,28,11
9.0,29,25
52.0,30,26
28.0,31,27
0.0,32,16
904.0,33,28
24.0,34,29
3.0,35,30
88.0,36,31
64.0,37,0
8.0,38,11
15.0,39,32
90.0,40,33
34.0,41,34
34.0,42,34
27.0,43,22
42.0,44,35
71.0,45,36
0.0,46,16
10.0,47,5
71.0,48,36
21.0,49,37
70.0,50,38
76.0,51,39
91.0,52,40
13.0,53,41
90.0,54,33
71.0,55,36
18.0,56,42
7.0,57,15
0.0,58,16
22.0,59,43
6.0,60,19
12.0,61,44
26.0,62,45
116.0,63,46
28.0,64,27
2008.0,65,47
18.0,66,42
12.0,67,44
29.0,68,6
30.0,69,48
98.0,70,49
11.0,71,50
334.0,72,51
99.0,73,52
46.0,74,53
309.0,75,54
25.0,76,8
13.0,77,41
1.0,78,55
48.0,79,56
19.0,80,57
16.0,81,58
1.0,82,55
39.0,83,18
12.0,84,44
3.0,85,30
2.0,86,59
4.0,87,60
64.0,88,0
46.0,89,53
10.0,90,5
27.0,91,22
1.0,92,55
37.0,93,21
19.0,94,57
3.0,95,30
64.0,96,0
71.0,97,36
283.0,98,61
92.0,99,12
0.0,100,16
15.0,101,32
24.0,102,29
92.0,103,12
73.0,104,62
15.0,105,32
52.0,106,26
39.0,107,18
3.0,108,30
,109,1
63.0,110,63
3.0,111,30
103.0,112,64
38.0,113,65
28.0,114,27
0.0,115,16
41.0,116,66
13.0,117,41
11.0,118,50
0.0,119,16
85.0,120,67
106.0,121,68
13.0,122,41
6.0,123,19
21.0,124,37
27.0,125,22
14.0,126,10
5.0,127,69
10.0,128,5
11.0,129,50
61.0,130,70
68.0,131,71
0.0,132,16
0.0,133,16
143.0,134,72
55.0,135,73
43.0,136,74
23.0,137,75
35.0,138,13
17.0,139,76
89.0,140,77
137.0,141,78
0.0,142,16
30.0,143,48
18.0,144,42
21.0,145,37
94.0,146,79
20.0,147,80
6.0,148,19
52.0,149,26
18.0,150,42
50.0,151,81
149.0,152,82
27.0,153,22
4.0,154,60
137.0,155,78
73.0,156,62
18.0,157,42
80.0,158,83
18.0,159,42
19.0,160,57
8.0,161,11
30.0,162,48
24.0,163,29
3.0,164,30
45.0,165,84
15.0,166,32
2.0,167,59
0.0,168,16
0.0,169,16
23.0,170,75
12.0,171,44
34.0,172,34
8.0,173,11
27.0,174,22
850.0,175,85
669.0,176,86
17.0,177,76
69.0,178,24
36.0,179,87
0.0,180,16
,181,1
0.0,182,16
37.0,183,21
24.0,184,29
79.0,185,9
0.0,186,16
16.0,187,58
8.0,188,11
39.0,189,18
40.0,190,20
38.0,191,65
33.0,192,4
98.0,193,49
15.0,194,32
101.0,195,88
,196,1
12.0,197,44
260.0,198,89
18.0,199,42
15.0,200,32
0.0,201,16
25.0,202,8
154.0,203,90
28.0,204,27
64.0,205,0
0.0,206,16
0.0,207,16
130.0,208,91
,209,1
72.0,210,92
65.0,211,93
164.0,212,7
0.0,213,16
84.0,214,3
19.0,215,57
108.0,216,94
10.0,217,5
22.0,218,43
74.0,219,95
22.0,220,43
34.0,221,34
72.0,222,92
