article_language,journal_issn,original_index,unique_index,count
eng,0035-9157 (Print) 0035-9157,0,0,1.0
ENG,1537-6613,1,1,1.0
eng,0301-4738,2,2,1.0
pol,,3,3,
eng,1558-0520,4,4,1.0
eng,,5,5,
eng,0007-1420,6,6,1.0
English; ABSTRACT LANGUAGE:English,,7,7,
English,1385-4046,8,8,1.0
,,9,9,
,1361-9209,10,10,
English,1940-5901,11,11,1.0
eng,0001-6349 (Print) 0001-6349,12,12,1.0
,1547-5271,13,13,
eng,,14,5,
eng,0007-0963,15,14,1.0
eng,1178-1998,16,15,1.0
eng,1469-493X,17,16,6.0
eng,Jan-68,18,17,1.0
eng,0195-9131,19,18,1.0
eng,1940-6215,20,19,1.0
English,,21,20,
eng,1432-086X,22,21,1.0
eng,1527-7755,23,22,2.0
,,24,9,
eng,1916-9736,25,23,1.0
eng,1555-2101,26,24,2.0
English,,27,20,
eng,1932-6203,28,25,7.0
English,15265161 (ISSN),29,26,1.0
kor,1598-9992,30,27,1.0
eng,0195-668X,31,28,1.0
English,,32,20,
eng,0077-8923,33,29,2.0
eng,1532-8511,34,30,1.0
,1745-0128 1745-0136,35,31,
English,0025-7931,36,32,1.0
eng,1524-4040,37,33,1.0
English,0899-6210,38,34,1.0
eng,1473-5695,39,35,1.0
,0360-3016,40,36,
eng,1559-7016,41,37,1.0
,0175-3851,42,38,
eng,1557-2625,43,39,1.0
,0378-7788,44,40,
eng,1538-7445,45,41,1.0
,,46,9,
eng,1469-493X,47,16,6.0
eng,1555-2101,48,24,2.0
,,49,9,
English,,50,20,
English; ABSTRACT LANGUAGE:English,0035-8843,51,42,1.0
eng,1537-7385,52,43,1.0
eng,1878-1861,53,44,1.0
,,54,9,
ENG,0098-1354,55,45,1.0
eng,0952-8180,56,46,1.0
eng,,57,5,
,0-8077-4913-3,58,47,
eng,1433-7347,59,48,2.0
eng,1879-4076,60,49,1.0
eng,0960-8923,61,50,1.0
English,-7977,62,51,1.0
,0091-6749 (Print),63,52,
eng,1756-9966,64,53,1.0
eng,1752-8526,65,54,1.0
,,66,9,
,1139-6121,67,55,
chi,1001-5515,68,56,1.0
eng,1082-3069,69,57,1.0
eng,0008-543X,70,58,2.0
eng,1474-5151,71,59,1.0
eng,1878-5883,72,60,1.0
English,0041-1337,73,61,1.0
eng,0377-4929,74,62,1.0
eng,,75,5,
,,76,9,
,0929-693X,77,63,
eng,,78,5,
,0041-1132,79,64,
eng,0961-5423 (Print) 0961-5423,80,65,1.0
eng,0962-2802,81,66,1.0
,"1553-9318, 1553-9318",82,67,
engspa,1699-7980,83,68,1.0
eng     por,1679-4508,84,69,1.0
,9788480000000,85,70,
eng,1556-9039,86,71,1.0
eng,,87,5,
eng,0020-7292,88,72,1.0
,0210-0010,89,73,
eng,1558-2027,90,74,2.0
fre,1776-2588,91,75,1.0
eng,1462-2203,92,76,1.0
English,1540-7314 0148-8376,93,77,1.0
eng,1088-0224,94,78,1.0
eng,1742-5255,95,79,1.0
,,96,9,
,0022-0345,97,80,
eng,0193-1849,98,81,1.0
,1878-3570,99,82,
,,100,9,
English,1612-4782     1612-4790,101,83,1.0
English,,102,20,
eng,1556-5653,103,84,1.0
eng,1432-0843,104,85,2.0
eng,1057-9249,105,86,1.0
,,106,9,
eng,,107,5,
eng,1471-4892,108,87,1.0
eng,1469-493X,109,16,6.0
eng,1432-0851,110,88,1.0
English,2044-6055,111,89,1.0
eng,,112,5,
,0143-991X,113,90,
eng,0315-162X,114,91,1.0
,,115,9,
,0021-8987,116,92,
,,117,9,
,2115-7863(Electronic);2115-8789(Print),118,93,
English,,119,20,
eng,Mar-22,120,94,1.0
eng,1878-3503,121,95,1.0
eng,1471-2458,122,96,1.0
eng,1936-2625,123,97,1.0
eng,1048-891X (Print)     1048-891x,124,98,1.0
spa,1578-1968,125,99,1.0
,,126,9,
,1840-0132 1840-2445 (electronic),127,100,
eng,1051-0443,128,101,1.0
,-7518,129,102,
,Feb-14,130,103,
eng,Feb-37,131,104,1.0
,,132,9,
,,133,9,
,,134,9,
eng,1079-5006,135,105,1.0
eng,1432-2161,136,106,1.0
,,137,9,
,,138,9,
eng,,139,5,
eng,,140,5,
eng,,141,5,
,,142,9,
eng,0266-7681 (Print) 0266-7681,143,107,1.0
eng,1540-8167,144,108,1.0
"Chinese     Chinese, English",,145,109,
,,146,9,
eng,1381-4788,147,110,1.0
eng,0017-5749,148,111,2.0
eng,0363-6771,149,112,1.0
,0956-7135,150,113,
eng,1873-3514,151,114,1.0
dut,0028-2162,152,115,1.0
eng,,153,5,
English,00913960 (ISSN),154,116,1.0
eng,1424-7860,155,117,1.0
,,156,9,
eng,1092-8529,157,118,1.0
cze,Jan-15,158,119,1.0
English,1790-8019,159,120,1.0
,,160,9,
eng,2249-782X,161,121,1.0
,,162,9,
,,163,9,
eng,0927-3972,164,122,1.0
,,165,9,
,,166,9,
eng,1751-7311,167,123,1.0
,,168,9,
,,169,9,
eng,0742-3071,170,124,1.0
eng,,171,5,
eng,1532-4281,172,125,1.0
English,0393-5264,173,126,2.0
English; ABSTRACT LANGUAGE:English,0362-2436,174,127,1.0
eng,0077-8923,175,29,2.0
eng,0077-8923 (Print) 0077-8923,176,128,1.0
,1930-7381,177,129,
eng,0273-1223,178,130,1.0
eng,1938-2367,179,131,1.0
English,0390-6078,180,132,1.0
ENG,1467-9450,181,133,1.0
,,182,9,
Korean,,183,134,
,0954-0121,184,135,
English,,185,20,
,,186,9,
,1078-6791,187,136,
,2158-0979,188,137,
English,0033-8389 DO  - http://dx.doi.org/10.1016/j.rcl.2010.07.015,189,138,1.0
,1090-1981,190,139,
eng,0090-4481,191,140,1.0
,,192,9,
eng,1460-2105,193,141,3.0
,14402440,194,142,
eng,,195,5,
ENG,1434-4726,196,143,1.0
eng,1471-2288,197,144,1.0
eng,1528-1140,198,145,1.0
eng,0885-3282,199,146,1.0
eng,1129-2377,200,147,1.0
,978-1-2673-2110-7,201,148,
eng,0264-0414,202,149,1.0
English,,203,20,
eng,1460-2385,204,150,2.0
English,1096-0023,205,151,1.0
,,206,9,
,,207,9,
eng,0004-0010 (Print) 0004-0010,208,152,1.0
ENG,1097-4598,209,153,1.0
eng,1873-5347,210,154,1.0
eng,0340-0131,211,155,1.0
dan,0041-5782 (Print) 0041-5782,212,156,1.0
,,213,9,
eng,1879-0461,214,157,1.0
eng,,215,5,
,0033-3549,216,158,
,1462-8910,217,159,
,,218,9,
,,219,9,
eng,0895-6111,220,160,1.0
,,221,9,
,,222,9,
eng,0307-0565,223,161,1.0
,,224,9,
,,225,9,
eng,1945-7170,226,162,2.0
eng,0277-3732,227,163,1.0
,1555-7855,228,164,
,,229,9,
,87567555,230,165,
eng,1532-2939,231,166,1.0
eng,1532-1916,232,167,1.0
eng,0002-9378 (Print) 0002-9378,233,168,1.0
eng,1466-187X,234,169,1.0
eng,Jan-47,235,170,1.0
eng,1567-5688,236,171,1.0
ger,Mar-17,237,172,1.0
eng,2044-6055,238,173,3.0
