ProviderNumber,HospitalType,original_index,unique_index
10018,acute care hospitals,0,0
10018,acute care hospitals,1,0
10018,acute care hospitals,2,0
10018,acute care hospitals,3,0
10018,acute care hospitals,4,0
10018,acute care hospitals,5,0
10018,acute care hospitals,6,0
10018,acute care hospitals,7,0
10019,acute care hospitals,8,1
10019,acute care hospitals,9,1
10019,acute care hospitals,10,1
10019,acute care hospitals,11,1
10019,acute care hospitals,12,1
1xx19,acute care hospitals,13,2
10019,acute care hospitals,14,1
10019,acute care hospitals,15,1
10019,acuxe care hospixals,16,3
10019,acute care hospitals,17,1
10019,acute care hospitals,18,1
10001,acute care hospitals,19,4
10001,acute care hospitals,20,4
10001,acute care hospitals,21,4
10001,acute care hospitals,22,4
10001,acute care hospitals,23,4
10001,acute care hospitals,24,4
10001,acute care hospitals,25,4
10001,acute care hospitals,26,4
10001,acute care hospitals,27,4
10001,acute care hospitals,28,4
10001,acute care hospitals,29,4
10001,acute care hospitals,30,4
10001,acute care hospitals,31,4
10001,acute care hospitals,32,4
10001,acute care hospitals,33,4
10001,acute care hospitals,34,4
10001,acute care hospitals,35,4
10001,acute care hospitals,36,4
10001,acute care hospitals,37,4
10001,acute care hospitals,38,4
10001,acxte care hospitals,39,5
10001,acute care hospitals,40,4
10001,acute care hospitals,41,4
10001,acute care hospitals,42,4
10001,acute care hospitals,43,4
10005,acute care hospitals,44,6
x0005,acute care hospitals,45,7
10005,acute care hospitals,46,6
10005,acute care hospitals,47,6
10005,acute care hospitals,48,6
10005,acute care hospitals,49,6
10005,acute care hospitals,50,6
10005,acute care hospitals,51,6
10005,acute care hospitals,52,6
10005,acute care hospitals,53,6
10005,acute care hospitals,54,6
10005,acute care hospitals,55,6
10005,acute care hospitals,56,6
10005,acute care hospitals,57,6
10005,acute care hospitals,58,6
10005,acute care hospitals,59,6
10005,acute care hospitals,60,6
10005,acute care hospitals,61,6
10005,acute care hospitals,62,6
10005,acute care hospitals,63,6
10005,acute care hospitals,64,6
10005,acute care hospitals,65,6
10005,acute care hospitals,66,6
10005,acute care hospitals,67,6
10005,acute care hospitals,68,6
10006,acute care hospitals,69,8
10006,acute care hospitals,70,8
10006,acute care hospitals,71,8
10006,acute care hospitals,72,8
10006,acute care hospitals,73,8
10006,acute care hospitals,74,8
10006,acute care hospitals,75,8
10006,acute care hospitals,76,8
10006,acute care hospitals,77,8
10006,acute care hospitals,78,8
10006,acute care hospitals,79,8
10006,acute care hospitals,80,8
1000x,acute care hospitals,81,9
10006,acute care hospitals,82,8
10006,acute care hospitals,83,8
10006,acute care hospitals,84,8
10006,acute care hospitals,85,8
10006,acute care hospitals,86,8
10006,acute care hospitals,87,8
10006,acute care hospitals,88,8
10006,acute care hospitals,89,8
10006,acute care hospitals,90,8
10006,acute care hospitals,91,8
10006,acute care hospitals,92,8
10006,acute care hospitals,93,8
10007,acute care hospitals,94,10
10007,acute care hospitals,95,10
10007,acute care hospitals,96,10
10007,acute care hospitals,97,10
10007,acute care hosxitals,98,11
10007,acute care hospitals,99,10
10007,acute care hospitals,100,10
10007,acute care hospitals,101,10
10007,acute care hospitals,102,10
10007,acute care hospitals,103,10
10007,acute care hospitals,104,10
10007,acute care hospitals,105,10
10007,acute care hospitals,106,10
10007,acute care hospitals,107,10
10007,acute care hospitals,108,10
10007,acute care hospitals,109,10
10007,acute care hospitals,110,10
10007,acute care hospitals,111,10
10007,acute care hospitals,112,10
10007,acute care hospitals,113,10
10007,acute care hospitals,114,10
10007,acute care hospitals,115,10
10007,acute care hospitals,116,10
10007,acute care hospitals,117,10
10007,acute care hospitals,118,10
10008,acute care hospitals,119,12
10008,acute care hospitals,120,12
10008,acute care hospitals,121,12
10008,acute care hospitals,122,12
10008,acute care hospitals,123,12
10008,acute care hospitals,124,12
10008,acute care hospitals,125,12
10008,acute care hospitals,126,12
10008,acute care hospitals,127,12
10008,acute care hospitals,128,12
10008,acute care hospitals,129,12
10008,acute care hospitals,130,12
10008,acute care hospitals,131,12
10008,acute care hospitals,132,12
10008,acute care hospitals,133,12
10008,acute care hospitals,134,12
10008,acute care hospitals,135,12
10008,acute care hospitals,136,12
10008,acute care hospitals,137,12
10008,acute care hospitals,138,12
10008,acute care hospitals,139,12
10008,acute care hospitals,140,12
10008,acute care hospitals,141,12
10008,acute care hospitals,142,12
10008,acute care hospitals,143,12
10009,acute care hospitals,144,13
10009,acute care hospitals,145,13
10009,acute care hospitals,146,13
10009,acute care hospitals,147,13
10009,acute care hospitals,148,13
10009,acute care hospitals,149,13
10009,acute care hospitals,150,13
10009,acute care hospitals,151,13
10009,acute care hospitals,152,13
10009,acute care hospitals,153,13
10009,acute care hospitals,154,13
10009,acute care hospitals,155,13
10009,acute care hospitals,156,13
10009,acute care hospitals,157,13
10009,acute care hospitals,158,13
10009,acute care hospitals,159,13
10009,acute care hospitals,160,13
10009,acute care hospitals,161,13
10009,acute care hospitals,162,13
10009,acute care hospitals,163,13
10009,acute care hospitals,164,13
10009,acute care hospitals,165,13
10009,acute care hospitals,166,13
10009,acute care hospitals,167,13
10009,acute care hospitals,168,13
10010,acute care hospitals,169,14
10010,acute care hospitals,170,14
10010,acute care hospitals,171,14
10010,acute care hospitals,172,14
10010,acute care hospitals,173,14
10010,acute care hospitals,174,14
10010,acute care hospitals,175,14
10010,acute care hospitals,176,14
10010,acute care hospitals,177,14
10010,acute care hospitals,178,14
10010,acute care hospitals,179,14
10010,acute care hospitals,180,14
10010,acute care hospitals,181,14
10010,acute care hospitals,182,14
10010,acute care hospitals,183,14
10010,acute care hospitals,184,14
10010,acute care hospitals,185,14
10010,acute care hospitals,186,14
10010,acute care hospitals,187,14
10010,acute care hospitals,188,14
10010,acute care hospitals,189,14
10010,acute care hospitals,190,14
10010,acute care hospitals,191,14
10010,acute care hospitals,192,14
10010,acute care hospitals,193,14
10011,acute care hospitals,194,15
10011,acute care hospitals,195,15
10011,acute care hospitals,196,15
10011,acute care hospitals,197,15
10011,acute care hospitals,198,15
10011,acute care hosxitals,199,16
10011,acute care hospitals,200,15
10011,acute care hospitals,201,15
10011,acute care hospitals,202,15
10011,acute care hospitals,203,15
10011,acute care hospitals,204,15
10011,acute care hospitals,205,15
10011,acute care hospitals,206,15
10011,acute care hospitals,207,15
10011,acute care hospitals,208,15
10011,acute care hospitals,209,15
10011,acute care hospitals,210,15
10011,acute care hospitals,211,15
10011,acute care hospitals,212,15
x00xx,acutx carx hospitals,213,17
10011,acute care hospitals,214,15
10011,acute care hospitals,215,15
10011,acute care hospitals,216,15
10011,acute care hospitals,217,15
10011,acute care hospitals,218,15
10012,acute care hospitals,219,18
10012,acute care hospitals,220,18
10012,acute care hospitals,221,18
10012,acute care hospitals,222,18
10012,acute care hospitals,223,18
10012,acute care hospitals,224,18
10012,acute care hospitals,225,18
10012,acute care hospitals,226,18
10012,acute care hospitals,227,18
10012,acute care hospitals,228,18
10012,acute care hospitals,229,18
10012,acute care hospitals,230,18
10012,acute care hospitals,231,18
10012,acute care hospitals,232,18
10012,acute care hospitals,233,18
10012,acute care hospitals,234,18
10012,acute care hospitals,235,18
10012,acute care hospitals,236,18
10012,acute care hospitals,237,18
10012,acute care hospitals,238,18
10012,acute care hospitals,239,18
10012,acute care hospitals,240,18
10012,acute care hospitals,241,18
10012,acute care hospitals,242,18
10012,acute care hospitals,243,18
x00x5,acute care hospitals,244,19
10015,acute care hospitals,245,20
10015,acute care hospitals,246,20
10015,acute care hospitals,247,20
10015,acute care hospitals,248,20
10015,acute care hospitals,249,20
10015,acute care hospitals,250,20
10015,acute care hospitals,251,20
10015,acute care hospitals,252,20
1xx15,acute care hospitals,253,21
10015,acute care hospitals,254,20
10015,acute care hospitals,255,20
10015,acute care hospitals,256,20
10015,acute care hospitals,257,20
