RatingValue,original_index,unique_index
8.6,0,0
7.2,1,1
7.6,2,2
7.5,3,3
6.7,4,4
6.3,5,5
6.8,6,6
5.9,7,7
6.3,8,5
4.8,9,8
5.9,10,7
7.2,11,1
7.6,12,2
8.1,13,9
6.9,14,10
6.7,15,4
5.5,16,11
7,17,12
7,18,12
6.8,19,6
7.7,20,13
7.4,21,14
7.9,22,15
6.3,23,5
6.7,24,4
7.8,25,16
7.1,26,17
6.6,27,18
7.1,28,17
,29,19
7.7,30,13
6.9,31,10
7,32,12
7.2,33,1
7.5,34,3
8.6,35,0
8.3,36,20
8.4,37,21
7.8,38,16
7.3,39,22
7.7,40,13
7.6,41,2
5.8,42,23
8.2,43,24
6.7,44,4
7.6,45,2
6.6,46,18
6.8,47,6
6.8,48,6
6.6,49,18
7.4,50,14
5.8,51,23
7.3,52,22
6.2,53,25
7.3,54,22
7,55,12
7.8,56,16
5.1,57,26
"5/10,5/10",58,27
6.4,59,28
"5.4/10,6/10",60,29
6.3,61,5
7.4,62,14
7,63,12
3.3,64,30
2,65,31
2.1,66,32
"7.7/10,6.5/10",67,33
8,68,34
7.2,69,1
7.6,70,2
4.5,71,35
6.5,72,36
6.2,73,25
6.4,74,28
5.5,75,11
5.8,76,23
7.4,77,14
7.1,78,17
7.1,79,17
7,80,12
6.3,81,5
5.3,82,37
5.2,83,38
6.3,84,5
6.9,85,10
8,86,34
8.1,87,9
6.7,88,4
6.8,89,6
7.1,90,17
7.4,91,14
8,92,34
6.9,93,10
7.3,94,22
6.5,95,36
7.6,96,2
7.3,97,22
7.1,98,17
7.7,99,13
6.9,100,10
7.5,101,3
7.5,102,3
6.8,103,6
7.3,104,22
4.2,105,39
,106,19
7.2,107,1
7.1,108,17
7.2,109,1
7.9,110,15
5.1,111,26
8.1,112,9
8.1,113,9
6.1,114,40
4.5,115,35
8.1,116,9
8.1,117,9
8,118,34
6.6,119,18
6.7,120,4
7.1,121,17
6.5,122,36
6.2,123,25
5.8,124,23
5.2,125,38
5.8,126,23
6.8,127,6
6.8,128,6
5.8,129,23
8.5,130,41
6.6,131,18
5.8,132,23
5.4,133,42
6.2,134,25
6.9,135,10
6.6,136,18
6.8,137,6
7.6,138,2
8,139,34
7.3,140,22
6.5,141,36
7.8,142,16
7.9,143,15
8.5,144,41
8,145,34
7.2,146,1
7.3,147,22
6.7,148,4
6.9,149,10
6,150,43
6.5,151,36
7.3,152,22
7,153,12
6.7,154,4
7.6,155,2
7.2,156,1
6.5,157,36
5.9,158,7
7.1,159,17
"7.1/10,5.6/10",160,44
"7/10,8.4/10",161,45
6.6,162,18
6.9,163,10
5.9,164,7
6.7,165,4
6.2,166,25
6.5,167,36
,168,19
6.8,169,6
6.4,170,28
6.3,171,5
6.5,172,36
7.3,173,22
8.3/10,174,46
7.7,175,13
7.2,176,1
7,177,12
6.9,178,10
7.3,179,22
7.3,180,22
6.7,181,4
6.5,182,36
"6.8/10,7.7/10",183,47
6.5,184,36
5.1,185,26
4.6,186,48
5.8,187,23
6.6,188,18
7.5,189,3
7.3,190,22
5.3,191,37
5.1,192,26
6.9,193,10
6.2,194,25
5.7,195,49
7.6,196,2
5.9,197,7
5.8,198,23
7.2,199,1
5.9,200,7
6.5,201,36
7.2,202,1
6.1,203,40
5.6,204,50
6,205,43
6.2,206,25
6.5,207,36
7.6,208,2
7,209,12
7.5,210,3
7.2,211,1
7.7,212,13
7,213,12
6.8,214,6
8.1,215,9
7.5,216,3
6.6,217,18
7.1,218,17
7.6,219,2
7.3,220,22
5.2,221,38
6.9,222,10
7.3,223,22
6.7,224,4
7.2,225,1
7.9,226,15
10-Jun,227,51
6.9,228,10
7.1,229,17
6.8,230,6
6.4,231,28
7.4,232,14
6.6,233,18
6.8,234,6
6.6,235,18
7,236,12
7.1,237,17
4.1,238,52
6.7,239,4
6.3,240,5
7.6,241,2
5.8,242,23
7.7,243,13
6.7,244,4
7.1,245,17
7,246,12
7.6,247,2
7.5,248,3
5.8,249,23
7.3,250,22
5.9,251,7
4.5,252,35
7.3,253,22
4.5,254,35
3.7,255,53
6.8,256,6
7.1,257,17
7.7,258,13
6.9,259,10
7.3,260,22
5.7,261,49
7.4,262,14
7.4,263,14
,264,19
6.7,265,4
6,266,43
7.6,267,2
7.1,268,17
4.7,269,54
6.9,270,10
6.5,271,36
6.9,272,10
5.7,273,49
7.1,274,17
,275,19
5.3,276,37
5.5,277,11
6.4,278,28
7.4,279,14
7,280,12
7.6,281,2
6.8,282,6
7.8,283,16
6.7,284,4
7.3,285,22
7.7,286,13
7.7,287,13
8.1,288,9
7.1,289,17
6.7,290,4
6.3,291,5
6.4,292,28
6.7,293,4
7.1,294,17
8.1,295,9
8.2,296,24
6.9,297,10
7.4,298,14
6.5,299,36
6.1,300,40
6.3,301,5
5.7,302,49
5.8,303,23
7.2,304,1
8.3,305,20
8.4,306,21
7.6,307,2
5.3,308,37
5.8,309,23
7.1,310,17
"7.7/10,7.5/10",311,55
7.8,312,16
6.8,313,6
,314,19
5.5,315,11
4.4,316,56
6.1,317,40
5.1,318,26
4.8,319,8
5.9,320,7
5.9,321,7
6.1,322,40
5.8,323,23
6,324,43
6.2,325,25
6.4,326,28
6.6,327,18
8,328,34
5.8,329,23
6.5,330,36
7.4,331,14
6.1,332,40
5.5,333,11
6,334,43
6.1,335,40
6.1,336,40
7.1,337,17
6.9,338,10
7.7,339,13
5.3,340,37
5.9,341,7
3.9,342,57
5.9,343,7
7.4,344,14
8.3,345,20
7.1,346,17
5.4,347,42
7.3,348,22
7.3,349,22
"2.9/10,3.3/10",350,58
7,351,12
7.1,352,17
6.5,353,36
6.7,354,4
6.5,355,36
7.4,356,14
6.5,357,36
7.7,358,13
4.9,359,59
7,360,12
7.3,361,22
7.1,362,17
7,363,12
7.8,364,16
5.4,365,42
7.1,366,17
7.7,367,13
7.6,368,2
7.7,369,13
7.3,370,22
7.9,371,15
7.2,372,1
7.6,373,2
7.2,374,1
7.4,375,14
4.5,376,35
2.7,377,60
6.2,378,25
5.6,379,50
"5.3/10,4.8/10",380,61
4.5,381,35
7.2,382,1
8.2,383,24
8.3,384,20
7.9,385,15
5.9,386,7
5.4,387,42
5.9,388,7
4.7,389,54
6.3,390,5
5.3,391,37
4.5,392,35
7.8,393,16
6.7,394,4
6.3,395,5
5.7,396,49
6.8,397,6
6.2,398,25
7.1,399,17
6.6,400,18
6.6,401,18
6.7,402,4
6,403,43
5.7,404,49
6.1,405,40
6.1,406,40
7.6,407,2
7.7,408,13
7,409,12
7,410,12
6.6,411,18
6.2,412,25
5.8,413,23
7.1,414,17
6.8,415,6
7.4,416,14
7.2,417,1
6.8,418,6
7.7,419,13
6.2,420,25
5.6,421,50
6.1,422,40
5.9,423,7
6,424,43
6.9,425,10
"5.9/10,5.7/10",426,62
7,427,12
8.1,428,9
7.6,429,2
6.9,430,10
5.8,431,23
5,432,63
5.6,433,50
6.1,434,40
6.5,435,36
5.3,436,37
4.5,437,35
8.8,438,64
6.2,439,25
6.9,440,10
7.8,441,16
7.8,442,16
6.9,443,10
6.1,444,40
6.3,445,5
8.1,446,9
8.1,447,9
6.5,448,36
6.3,449,5
7.8,450,16
6.1,451,40
6.4,452,28
7.1,453,17
7,454,12
7.7,455,13
6.4,456,28
,457,19
7.1,458,17
5.9,459,7
5.6,460,50
7.7,461,13
7.2,462,1
6.2,463,25
5.6,464,50
7.6,465,2
8,466,34
6.2,467,25
3.4,468,65
4.4,469,56
4.2,470,39
4.4,471,56
5.3,472,37
6.2,473,25
5.9,474,7
4.3,475,66
5.7,476,49
7.2,477,1
3.4,478,65
2.1,479,32
,480,19
7.5,481,3
2.6,482,67
7.9,483,15
6.9,484,10
7.8,485,16
7.2,486,1
6.7,487,4
5.3,488,37
6.3,489,5
6.5,490,36
6.2,491,25
6.8,492,6
6.4,493,28
6,494,43
"4.4/10,5.1/10",495,68
3.4,496,65
5.5,497,11
3.6,498,69
4,499,70
7.2,500,1
8.2,501,24
6.2,502,25
8.4,503,21
6,504,43
5.8,505,23
6.7,506,4
6.9,507,10
7.6,508,2
8.4,509,21
6.9,510,10
7,511,12
5.4,512,42
6.4,513,28
5.3,514,37
7.4,515,14
6,516,43
5.6,517,50
5.6,518,50
"7.4/10,7.3/10",519,71
7.4,520,14
7.4,521,14
7.9,522,15
6.7,523,4
7.2,524,1
6.7,525,4
7.5,526,3
8,527,34
7.7,528,13
7.9,529,15
8.1,530,9
8.3,531,20
7.7,532,13
4.5,533,35
8.5,534,41
5.6,535,50
7.2,536,1
"7.2/10,7.3/10",537,72
7.5,538,3
6.7,539,4
7,540,12
5.3,541,37
6.9,542,10
6.5,543,36
7.2,544,1
6.3,545,5
6.1,546,40
6.3,547,5
6.1,548,40
5,549,63
6.5,550,36
7.2,551,1
6.8,552,6
7.3,553,22
6.1,554,40
5.9,555,7
6.2,556,25
7.7,557,13
6.9,558,10
6.9,559,10
7.7,560,13
8.1,561,9
8.3,562,20
7.3,563,22
7,564,12
,565,19
4.7,566,54
4.8,567,8
6.1,568,40
6.1,569,40
"4.9/10,4.9/10",570,73
6.4,571,28
6.4,572,28
,573,19
5.3,574,37
6.8,575,6
4.2,576,39
6.4,577,28
5.4,578,42
6.3,579,5
"5.2/10,4.9/10",580,74
5.8,581,23
6.9,582,10
7.6,583,2
7.4,584,14
7.7,585,13
7.6,586,2
7.8,587,16
3.7,588,53
7.6,589,2
6.6,590,18
7,591,12
6.3,592,5
6.3,593,5
6.5,594,36
6.8,595,6
7.8,596,16
7.9,597,15
7.7,598,13
7.5,599,3
7.2,600,1
5.8,601,23
5.7,602,49
5.1,603,26
6.4,604,28
5.9,605,7
6.5,606,36
7.3,607,22
7.5,608,3
6.7,609,4
6.8,610,6
7.1,611,17
7.1,612,17
5.8,613,23
5.9,614,7
4.6,615,48
4.9,616,59
5.3,617,37
6.6,618,18
6.5,619,36
7.5,620,3
8.8,621,64
8,622,34
7.5,623,3
6.1,624,40
4.8,625,8
4.5,626,35
6,627,43
"6/10,5.8/10",628,75
8.2,629,24
7.8,630,16
6.3,631,5
7.2,632,1
7.3,633,22
6.4,634,28
7.2,635,1
6.4,636,28
6.7,637,4
7.1,638,17
7.1,639,17
7.1,640,17
8.2,641,24
8.2,642,24
7.4,643,14
5.6,644,50
4.3,645,66
7.1,646,17
6.2,647,25
4.7,648,54
6.2,649,25
7.9,650,15
5.7,651,49
6.4,652,28
8.6,653,0
7.3,654,22
6.1,655,40
3,656,76
6.6,657,18
7.6,658,2
7.4,659,14
6.1,660,40
6.6,661,18
7,662,12
7.8,663,16
7,664,12
7.6,665,2
7.3,666,22
6.6,667,18
6.9,668,10
7.6,669,2
7.3,670,22
6.2,671,25
6.3,672,5
6.9,673,10
5.9,674,7
6.9,675,10
6.7,676,4
7,677,12
7.2,678,1
7.8,679,16
7.6,680,2
8,681,34
7.2,682,1
7.2,683,1
5.8,684,23
7.6,685,2
7.6,686,2
7,687,12
7.5,688,3
"3.8/10,3.4/10",689,77
7.6,690,2
6.5,691,36
6.9,692,10
5.5,693,11
6.3,694,5
5.8,695,23
5.7,696,49
8,697,34
8.1,698,9
8.3,699,20
"4.6/10,4.7/10",700,78
5.9,701,7
8.1,702,9
7.6,703,2
4,704,70
4.4,705,56
4.3,706,66
7.3,707,22
6.8,708,6
6.3,709,5
6.2,710,25
7.6,711,2
6.1,712,40
6.2,713,25
4.7,714,54
