completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
692,3069,3761,00:07.217,1,"ProviderNumber, HospitalName"
713,3233,3946,00:05.724,1,"ProviderNumber, Address1"
1380,2826,4206,00:09.039,1,"ProviderNumber, ZipCode"
469,2992,3461,00:04.653,1,"ProviderNumber, CountyName"
1584,7172,8756,00:13.336,3,"ProviderNumber, Condition"
851,3459,4310,00:06.207,1,"HospitalName, Address1"
916,3266,4182,00:07.435,1,"HospitalName, HospitalType"
643,3347,3990,00:04.775,1,"HospitalName, HospitalOwner"
1618,2620,4238,00:11.413,1,"City, State"
840,2577,3417,00:06.284,1,"State, ZipCode"
911,2994,3905,00:06.403,1,"ZipCode, CountyName"
651,2046,2697,00:05.359,1,"HospitalType, HospitalOwner"
1974,1975,3949,00:12.631,1,"HospitalType, Condition"
751,2738,3489,00:05.660,1,"Condition, MeasureCode"
1038,6463,7501,00:08.623,3,"Condition, Score"
2729,16691,19420,00:22.491,6,"Condition, Sample"
1193,3360,4553,00:08.083,1,"Condition, Stateavg"
413,4231,4644,00:03.276,1,"MeasureCode, MeasureName"
1490,13042,14532,00:12.584,5,"MeasureCode, Score"
1942,23477,25419,00:17.973,8,"MeasureCode, Sample"
486,3283,3769,00:04.118,1,"MeasureCode, Stateavg"
1620,17988,19608,00:15.487,7,"Score, Sample"
1825,24783,26608,00:17.898,8,"Sample, Stateavg"
