column_1_name,column_2_name,column_1_count,column_2_count,dependency
City,State,30,8,"City, State"
Condition,Sample,61,28,"Condition, Sample"
Condition,HospitalName,4,17,"Condition, Score"
ProviderNumber,index,5,17,"Condition, Stateavg"
Address1,HospitalName,7,8,"HospitalName, Address1"
HospitalName,HospitalOwner,5,7,"HospitalName, HospitalOwner"
HospitalName,HospitalType,1,86,"HospitalName, HospitalType"
Condition,HospitalType,31,26,"HospitalType, Condition"
HospitalOwner,HospitalType,9,4,"HospitalType, HospitalOwner"
MeasureCode,Sample,5,32,"MeasureCode, Sample"
MeasureCode,Score,7,20,"MeasureCode, Score"
Address1,ProviderNumber,9,27,"ProviderNumber, Address1"
Condition,ProviderNumber,17,27,"ProviderNumber, Condition"
CountyName,ProviderNumber,6,5,"ProviderNumber, CountyName"
HospitalName,ProviderNumber,5,10,"ProviderNumber, HospitalName"
ProviderNumber,ZipCode,17,15,"ProviderNumber, ZipCode"
HospitalName,ProviderNumber,4,12,"Sample, Stateavg"
HospitalName,ProviderNumber,9,11,"Score, Sample"
State,ZipCode,11,14,"State, ZipCode"
HospitalName,ProviderNumber,9,16,"ZipCode, CountyName"
