brewery_name,state,original_index,unique_index,count
10 Barrel Brewing Company,OR,0,0,1.0
18th Street Brewery,IN,1,1,14.0
18th Street Brewery,IN,2,1,14.0
18th Street Brewery,IN,3,1,14.0
18th Street Brewery,IN,4,1,14.0
18th Street Brewery,IN,5,1,14.0
18th Street Brewery,IN,6,1,14.0
18th Street Brewery,IN,7,1,14.0
18th Street Brewery,IN,8,1,14.0
18th Street Brewery,IN,9,1,14.0
18th Street Brewery,IN,10,1,14.0
18th Street Brewery,IN,11,1,14.0
18th Street Brewery,IN,12,1,14.0
18th Street Brewery,IN,13,1,14.0
18th Street Brewery,IN,14,1,14.0
2 Towns Ciderhouse,OR,15,2,4.0
2 Towns Ciderhouse,OR,16,2,4.0
2 Towns Ciderhouse,OR,17,2,4.0
2 Towns Ciderhouse,OR,18,2,4.0
21st Amendment Brewery,CA,19,3,19.0
21st Amendment Brewery,,20,4,
21st Amendment Brewery,CA,21,3,19.0
21st Amendment Brewery,CA,22,3,19.0
21st Amendment Brewery,CA,23,3,19.0
21st Amendment Brewery,CA,24,3,19.0
21st Amendment Brewery,CA,25,3,19.0
21st Amendment Brewery,CA,26,3,19.0
21st Amendment Brewery,CA,27,3,19.0
21st Amendment Brewery,CA,28,3,19.0
21st Amendment Brewery,CA,29,3,19.0
21st Amendment Brewery,CA,30,3,19.0
21st Amendment Brewery,CA,31,3,19.0
21st Amendment Brewery,CA,32,3,19.0
21st Amendment Brewery,CA,33,3,19.0
21st Amendment Brewery,CA,34,3,19.0
21st Amendment Brewery,CA,35,3,19.0
21st Amendment Brewery,CA,36,3,19.0
21st Amendment Brewery,CA,37,3,19.0
21st Amendment Brewery,CA,38,3,19.0
3 Daughters Brewing,FL,39,5,3.0
3 Daughters Brewing,FL,40,5,3.0
3 Daughters Brewing,FL,41,5,3.0
4 Hands Brewing Company,MO,42,6,7.0
4 Hands Brewing Company,MO,43,6,7.0
4 Hands Brewing Company,MO,44,6,7.0
4 Hands Brewing Company,MO,45,6,7.0
4 Hands Brewing Company,MO,46,6,7.0
4 Hands Brewing Company,,47,7,
4 Hands Brewing Company,MO,48,6,7.0
4 Hands Brewing Company,MO,49,6,7.0
450 North Brewing Company,IN,50,8,7.0
450 North Brewing Company,IN,51,8,7.0
450 North Brewing Company,IN,52,8,7.0
450 North Brewing Company,IN,53,8,7.0
450 North Brewing Company,IN,54,8,7.0
450 North Brewing Company,IN,55,8,7.0
450 North Brewing Company,IN,56,8,7.0
7 Seas Brewing Company,WA,57,9,4.0
7 Seas Brewing Company,WA,58,9,4.0
7 Seas Brewing Company,WA,59,9,4.0
7 Seas Brewing Company,WA,60,9,4.0
7venth Sun,FL,61,10,1.0
AC Golden Brewing Company,CO,62,11,2.0
AC Golden Brewing Company,CO,63,11,2.0
Abita Brewing Company,LA,64,12,3.0
Abita Brewing Company,LA,65,12,3.0
Abita Brewing Company,LA,66,12,3.0
Against The Grain Brewery,KY,67,13,2.0
Against The Grain Brewery,KY,68,13,2.0
Against the Grain Brewery,KY,69,14,13.0
Against the Grain Brewery,KY,70,14,13.0
Against the Grain Brewery,KY,71,14,13.0
Against the Grain Brewery,KY,72,14,13.0
Against the Grain Brewery,KY,73,14,13.0
Against the Grain Brewery,KY,74,14,13.0
Against the Grain Brewery,KY,75,14,13.0
Against the Grain Brewery,KY,76,14,13.0
Against the Grain Brewery,KY,77,14,13.0
Against the Grain Brewery,KY,78,14,13.0
Against the Grain Brewery,KY,79,14,13.0
Against the Grain Brewery,KY,80,14,13.0
Against the Grain Brewery,KY,81,14,13.0
Airways Brewing Company,WA,82,15,3.0
Airways Brewing Company,WA,83,15,3.0
Airways Brewing Company,WA,84,15,3.0
Alameda Brewing,OR,85,16,3.0
Alameda Brewing,OR,86,16,3.0
Alameda Brewing,OR,87,16,3.0
Alaskan Brewing Company,AK,88,17,2.0
Alaskan Brewing Company,AK,89,17,2.0
Ale Asylum,,90,18,
Alltech's Lexington Brewing Company,KY,91,19,2.0
Alltech's Lexington Brewing Company,KY,92,19,2.0
Amnesia Brewing Company,WA,93,20,3.0
Amnesia Brewing Company,WA,94,20,3.0
Amnesia Brewing Company,WA,95,20,3.0
Anchor Brewing Company,CA,96,21,5.0
Anchor Brewing Company,CA,97,21,5.0
Anchor Brewing Company,CA,98,21,5.0
Anchor Brewing Company,CA,99,21,5.0
Anchor Brewing Company,CA,100,21,5.0
Anderson Valley Brewing Company,CA,101,22,18.0
Anderson Valley Brewing Company,CA,102,22,18.0
Anderson Valley Brewing Company,CA,103,22,18.0
Anderson Valley Brewing Company,CA,104,22,18.0
Anderson Valley Brewing Company,CA,105,22,18.0
Anderson Valley Brewing Company,CA,106,22,18.0
