completion_tokens,prompt_tokens,total_tokens,elapsed_time,batches,prompt_name
0,0,0,00:00.000,0,index
1036,2617,3653,00:07.730,1,ProviderNumber
2690,3103,5793,00:20.880,1,HospitalName
2161,2731,4892,00:18.569,1,Address1
90,990,1080,00:01.493,1,Address2
63,990,1053,00:01.376,1,Address3
1841,2406,4247,00:11.063,1,City
212,1043,1255,00:01.901,1,State
927,2375,3302,00:06.992,1,ZipCode
2039,2252,4291,00:12.567,1,CountyName
1617,2551,4168,00:11.913,1,PhoneNumber
553,1279,1832,00:05.274,1,HospitalType
1252,1692,2944,00:07.775,1,HospitalOwner
278,1081,1359,00:02.526,1,EmergencyService
1188,1620,2808,00:08.925,1,Condition
1922,2190,4112,00:14.586,1,MeasureCode
3137,3621,6758,00:18.667,1,MeasureName
1556,2225,3781,00:09.743,1,Score
6809,20875,27684,00:46.256,6,Sample
3312,3022,6334,00:20.423,1,Stateavg
