Language,Genre,original_index,unique_index
English,"Horror,Mystery,Thriller",0,0
English,"Action,Drama,Horror",1,1
"English,Dutch,Latvian","Romance,Thriller,War",2,2
English,"Documentary,Biography",3,3
"English,French","Documentary,Comedy",4,4
"English,Spanish,French,Russian",Thriller,5,5
English,"Comedy,Thriller",6,6
English,"Comedy,Horror,Thriller",7,7
English,"Drama,Horror",8,8
English,"Comedy,Romance",9,9
English,"Comedy,Drama",10,10
English,Documentary,11,11
"English,Italian","Comedy,Drama",12,12
"English,French,Arabic,Russian,Spanish","Action,Thriller",13,13
English,"Drama,Mystery,Thriller",14,14
"English,French","Drama,Romance,Thriller",15,15
"English,Mandarin","Action,Adventure,Fantasy",16,16
"English,Egyptian (Ancient),Arabic","Action,Adventure,Fantasy",17,17
English,"Action,Fantasy",18,18
"English,French,Hungarian","Action,Fantasy,Sci-Fi",19,19
English,"Animation,Comedy,Family",20,20
English,"Animation,Adventure,Comedy",21,21
"English,Arabic,Spanish","Animation,Adventure,Comedy",22,22
English,"Drama,Thriller",23,23
"English,Spanish","Crime,Drama",24,24
English,"Action,Adventure,Thriller",25,25
"English,Russian","Action,Horror",26,26
English,Documentary,27,11
English,Documentary,28,11
English,"Action,Crime,Drama",29,27
"English,Japanese","Action,Drama,History",30,28
English,"Action,Drama,Romance",31,29
English,"Drama,Fantasy,Romance",32,30
English,"Comedy,Musical,Romance",33,31
English,"Biography,Comedy,Drama",34,32
"English,French,German,Italian","Drama,Film-Noir,Romance",35,33
"English,Russian","Mystery,Sci-Fi",36,34
English,Drama,37,35
English,"Crime,Drama,Mystery",38,36
English,"Drama,Mystery,Thriller",39,14
"English,French","Drama,Romance",40,37
English,"Drama,Romance,Adventure",41,38
English,"Action,Comedy,Horror",42,39
English,"Documentary,Biography,Sport",43,40
English,Documentary,44,11
English,Documentary,45,11
English,"Documentary,Biography,Sport",46,40
English,"Documentary,Fantasy",47,41
English,"Documentary,Biography,History",48,42
English,Documentary,49,11
English,Drama,50,35
English,"Adventure,Horror",51,43
English,"Comedy,Drama,Fantasy",52,44
"English,French","Crime,Mystery,Thriller",53,45
English,"Biography,Drama",54,46
English,"Animation,Adventure,Fantasy",55,47
"English,French","Animation,Adventure,Comedy",56,48
English,"Drama,Thriller",57,23
"English,Greek","Classics,Action & Adventure",58,49
