state,original_index,unique_index,count
OR,0,0,118.0
IN,1,1,131.0
IN,2,1,131.0
IN,3,1,131.0
IN,4,1,131.0
IN,5,1,131.0
IN,6,1,131.0
IN,7,1,131.0
IN,8,1,131.0
IN,9,1,131.0
IN,10,1,131.0
IN,11,1,131.0
IN,12,1,131.0
IN,13,1,131.0
IN,14,1,131.0
OR,15,0,118.0
OR,16,0,118.0
OR,17,0,118.0
OR,18,0,118.0
CA,19,2,170.0
,20,3,
CA,21,2,170.0
CA,22,2,170.0
CA,23,2,170.0
CA,24,2,170.0
CA,25,2,170.0
CA,26,2,170.0
CA,27,2,170.0
CA,28,2,170.0
CA,29,2,170.0
CA,30,2,170.0
CA,31,2,170.0
CA,32,2,170.0
CA,33,2,170.0
CA,34,2,170.0
CA,35,2,170.0
CA,36,2,170.0
CA,37,2,170.0
CA,38,2,170.0
FL,39,4,56.0
FL,40,4,56.0
FL,41,4,56.0
MO,42,5,41.0
MO,43,5,41.0
MO,44,5,41.0
MO,45,5,41.0
MO,46,5,41.0
,47,3,
MO,48,5,41.0
MO,49,5,41.0
IN,50,1,131.0
IN,51,1,131.0
IN,52,1,131.0
IN,53,1,131.0
IN,54,1,131.0
IN,55,1,131.0
IN,56,1,131.0
WA,57,6,68.0
WA,58,6,68.0
WA,59,6,68.0
WA,60,6,68.0
FL,61,4,56.0
CO,62,7,248.0
CO,63,7,248.0
LA,64,8,19.0
LA,65,8,19.0
LA,66,8,19.0
KY,67,9,21.0
KY,68,9,21.0
KY,69,9,21.0
KY,70,9,21.0
KY,71,9,21.0
KY,72,9,21.0
KY,73,9,21.0
KY,74,9,21.0
KY,75,9,21.0
KY,76,9,21.0
KY,77,9,21.0
KY,78,9,21.0
KY,79,9,21.0
KY,80,9,21.0
KY,81,9,21.0
WA,82,6,68.0
WA,83,6,68.0
WA,84,6,68.0
OR,85,0,118.0
OR,86,0,118.0
OR,87,0,118.0
AK,88,10,24.0
AK,89,10,24.0
,90,3,
KY,91,9,21.0
KY,92,9,21.0
WA,93,6,68.0
WA,94,6,68.0
WA,95,6,68.0
CA,96,2,170.0
CA,97,2,170.0
CA,98,2,170.0
CA,99,2,170.0
CA,100,2,170.0
CA,101,2,170.0
CA,102,2,170.0
CA,103,2,170.0
CA,104,2,170.0
CA,105,2,170.0
CA,106,2,170.0
CA,107,2,170.0
CA,108,2,170.0
CA,109,2,170.0
CA,110,2,170.0
CA,111,2,170.0
CA,112,2,170.0
CA,113,2,170.0
CA,114,2,170.0
CA,115,2,170.0
CA,116,2,170.0
CA,117,2,170.0
CA,118,2,170.0
WI,119,11,82.0
WI,120,11,82.0
,121,3,
OH,122,12,47.0
OH,123,12,47.0
OH,124,12,47.0
OK,125,13,18.0
OK,126,13,18.0
OK,127,13,18.0
NC,128,14,56.0
NC,129,14,56.0
NC,130,14,56.0
MI,131,15,157.0
MI,132,15,157.0
CO,133,7,248.0
,134,3,
TX,135,16,123.0
CA,136,2,170.0
CO,137,7,248.0
NC,138,14,56.0
,139,3,
NC,140,14,56.0
WA,141,6,68.0
WA,142,6,68.0
WA,143,6,68.0
CO,144,7,248.0
CO,145,7,248.0
OR,146,0,118.0
OR,147,0,118.0
OR,148,0,118.0
OR,149,0,118.0
MI,150,15,157.0
MI,151,15,157.0
MI,152,15,157.0
MI,153,15,157.0
MI,154,15,157.0
,155,3,
TX,156,16,123.0
TX,157,16,123.0
TX,158,16,123.0
TX,159,16,123.0
TX,160,16,123.0
CO,161,7,248.0
CO,162,7,248.0
CO,163,7,248.0
CO,164,7,248.0
CO,165,7,248.0
CO,166,7,248.0
NC,167,14,56.0
NC,168,14,56.0
NC,169,14,56.0
NC,170,14,56.0
NC,171,14,56.0
NC,172,14,56.0
CT,173,17,27.0
CT,174,17,27.0
CT,175,17,27.0
CT,176,17,27.0
CT,177,17,27.0
AL,178,18,10.0
AL,179,18,10.0
WA,180,6,68.0
WA,181,6,68.0
CA,182,2,170.0
,183,3,
CA,184,2,170.0
CA,185,2,170.0
CA,186,2,170.0
CA,187,2,170.0
MA,188,19,76.0
MA,189,19,76.0
MA,190,19,76.0
IN,191,1,131.0
AZ,192,20,46.0
AZ,193,20,46.0
OR,194,0,118.0
OR,195,0,118.0
OR,196,0,118.0
OR,197,0,118.0
OR,198,0,118.0
MN,199,21,52.0
MN,200,21,52.0
MN,201,21,52.0
MN,202,21,52.0
ME,203,22,24.0
ME,204,22,24.0
ME,205,22,24.0
ME,206,22,24.0
ME,207,22,24.0
ME,208,22,24.0
ME,209,22,24.0
ME,210,22,24.0
ME,211,22,24.0
VA,212,23,37.0
MA,213,19,76.0
MA,214,19,76.0
MA,215,19,76.0
MA,216,19,76.0
MI,217,15,157.0
MI,218,15,157.0
MI,219,15,157.0
MI,220,15,157.0
MI,221,15,157.0
MI,222,15,157.0
MN,223,21,52.0
MN,224,21,52.0
MN,225,21,52.0
MN,226,21,52.0
MN,227,21,52.0
MN,228,21,52.0
MN,229,21,52.0
,230,3,
MN,231,21,52.0
MA,232,19,76.0
MA,233,19,76.0
TX,234,16,123.0
TX,235,16,123.0
TX,236,16,123.0
TX,237,16,123.0
TX,238,16,123.0
CO,239,7,248.0
CO,240,7,248.0
CO,241,7,248.0
CO,242,7,248.0
MA,243,19,76.0
MA,244,19,76.0
MA,245,19,76.0
MI,246,15,157.0
MI,247,15,157.0
IL,248,24,84.0
IL,249,24,84.0
TN,250,25,6.0
TN,251,25,6.0
MT,252,26,38.0
MT,253,26,38.0
MT,254,26,38.0
MT,255,26,38.0
MT,256,26,38.0
MT,257,26,38.0
MT,258,26,38.0
MT,259,26,38.0
MT,260,26,38.0
MT,261,26,38.0
MT,262,26,38.0
MT,263,26,38.0
FL,264,4,56.0
FL,265,4,56.0
MN,266,21,52.0
MN,267,21,52.0
MN,268,21,52.0
MN,269,21,52.0
MN,270,21,52.0
NC,271,14,56.0
MT,272,26,38.0
MT,273,26,38.0
MT,274,26,38.0
IN,275,1,131.0
CA,276,2,170.0
CA,277,2,170.0
CA,278,2,170.0
CA,279,2,170.0
CO,280,7,248.0
CO,281,7,248.0
CO,282,7,248.0
CO,283,7,248.0
WY,284,27,15.0
WY,285,27,15.0
MA,286,19,76.0
MI,287,15,157.0
MI,288,15,157.0
MI,289,15,157.0
MI,290,15,157.0
MI,291,15,157.0
MI,292,15,157.0
NE,293,28,24.0
NE,294,28,24.0
NE,295,28,24.0
NE,296,28,24.0
NE,297,28,24.0
NE,298,28,24.0
NE,299,28,24.0
NE,300,28,24.0
NE,301,28,24.0
NE,302,28,24.0
NE,303,28,24.0
NE,304,28,24.0
NE,305,28,24.0
NE,306,28,24.0
OR,307,0,118.0
OR,308,0,118.0
,309,3,
,310,3,
VA,311,23,37.0
VA,312,23,37.0
VA,313,23,37.0
VA,314,23,37.0
TX,315,16,123.0
TX,316,16,123.0
TX,317,16,123.0
TX,318,16,123.0
NY,319,29,68.0
NY,320,29,68.0
NY,321,29,68.0
NY,322,29,68.0
UT,323,30,26.0
UT,324,30,26.0
UT,325,30,26.0
UT,326,30,26.0
UT,327,30,26.0
FL,328,4,56.0
FL,329,4,56.0
FL,330,4,56.0
NJ,331,31,7.0
NJ,332,31,7.0
NY,333,29,68.0
NY,334,29,68.0
CO,335,7,248.0
CO,336,7,248.0
CO,337,7,248.0
CO,338,7,248.0
CO,339,7,248.0
CO,340,7,248.0
CO,341,7,248.0
CO,342,7,248.0
CO,343,7,248.0
CO,344,7,248.0
CO,345,7,248.0
CO,346,7,248.0
CO,347,7,248.0
CO,348,7,248.0
CO,349,7,248.0
CO,350,7,248.0
CO,351,7,248.0
,352,3,
CO,353,7,248.0
AZ,354,20,46.0
MA,355,19,76.0
MA,356,19,76.0
MA,357,19,76.0
MA,358,19,76.0
MA,359,19,76.0
MA,360,19,76.0
MA,361,19,76.0
MA,362,19,76.0
MA,363,19,76.0
CO,364,7,248.0
CO,365,7,248.0
CO,366,7,248.0
MO,367,5,41.0
PA,368,32,91.0
PA,369,32,91.0
PA,370,32,91.0
MT,371,26,38.0
