sched_dep_time,original_index,unique_index
7:10 a.m.,0,0
7:45 p.m.,1,1
6:30 p.m.,2,2
6:40 a.m.,3,3
12:15 p.m.,4,4
11:25 p.m.,5,5
7:00 a.m.,6,6
4:15 p.m.,7,7
11:50 a.m.,8,8
6:00 a.m.,9,9
10:45 a.m.,10,10
7:55 a.m.,11,11
10:15 a.m.,12,12
7:30 a.m.,13,13
1:00 p.m.,14,14
9:05 a.m.,15,15
11:45 a.m.,16,16
7:25 a.m.,17,17
6:45 a.m.,18,18
11:35 a.m.,19,19
10:40 a.m.,20,20
3:35 p.m.,21,21
7:15 a.m.,22,22
6:45 p.m.,23,23
12:00 p.m.,24,24
6:00 a.m.,25,9
7:10 a.m.,26,0
4:55 p.m.,27,25
8:00 p.m.,28,26
10:40 a.m.,29,20
10:40 a.m.,30,20
11:55 p.m.,31,27
9:00 p.m.,32,28
8:25 p.m.,33,29
6:59 a.m.,34,30
8:35 a.m.,35,31
1:30 p.m.,36,32
8:20 p.m.,37,33
2:35 p.m.,38,34
2:55 p.m.,39,35
7:15 a.m.,40,22
12:10 p.m.,41,36
1:05 p.m.,42,37
8:35 a.m.,43,31
3:05 p.m.,44,38
11:25 a.m.,45,39
4:00 p.m.,46,40
7:10 a.m.,47,0
6:00 a.m.,48,9
7:10 a.m.,49,0
,50,41
7:00 p.m.,51,42
,52,41
,53,41
,54,41
,55,41
,56,41
11:25 a.m.,57,39
,58,41
,59,41
,60,41
,61,41
12:30 a.m.,62,43
,63,41
7:35 a.m.,64,44
9:45 a.m.,65,45
,66,41
,67,41
,68,41
,69,41
,70,41
2:30 p.m.,71,46
8:05 a.m.,72,47
,73,41
,74,41
11:40 a.m.,75,48
,76,41
,77,41
6:00 a.m.,78,9
8:40 a.m.,79,49
,80,41
,81,41
,82,41
,83,41
,84,41
,85,41
,86,41
5:25 p.m.,87,50
7:10 p.m.,88,51
,89,41
,90,41
3:35 p.m.,91,21
,92,41
,93,41
,94,41
,95,41
7:15 p.m.,96,52
,97,41
9:15 a.m.,98,53
,99,41
,100,41
,101,41
,102,41
,103,41
,104,41
,105,41
10:25 a.m.,106,54
,107,41
,108,41
,109,41
,110,41
1:29 p.m.,111,55
,112,41
,113,41
,114,41
,115,41
,116,41
,117,41
,118,41
,119,41
2:53 p.m.,120,56
,121,41
11:08 p.m.,122,57
,123,41
,124,41
,125,41
,126,41
,127,41
2:30 p.m.,128,46
8:55 a.m.,129,58
,130,41
,131,41
,132,41
,133,41
,134,41
9:05 a.m. (-00:00),135,59
,136,41
,137,41
,138,41
,139,41
,140,41
,141,41
2:55 p.m.,142,35
,143,41
,144,41
,145,41
4:00 p.m.,146,40
,147,41
,148,41
,149,41
7:10 a.m.,150,0
,151,41
6:40 a.m.,152,3
8:00 a.m.,153,60
,154,41
7:45 p.m.,155,1
12:00 p.m.,156,24
3:27 p.m.,157,61
,158,41
,159,41
11:25 p.m.,160,5
,161,41
,162,41
4:00 p.m.,163,40
,164,41
,165,41
9:05 a.m.,166,15
,167,41
7:00 a.m.,168,6
4:15 p.m.,169,7
,170,41
,171,41
,172,41
,173,41
11:50 a.m.,174,8
,175,41
6:00 a.m.,176,9
11:05 a.m.,177,62
,178,41
,179,41
10:15 a.m.,180,12
1:00 p.m.,181,14
,182,41
,183,41
,184,41
2:30 p.m.,185,46
12:00 p.m.,186,24
,187,41
,188,41
10:40 a.m.,189,20
12:57 p.m.,190,63
,191,41
7:15 a.m.,192,22
6:30 p.m.,193,2
6:45 p.m.,194,23
7:15 p.m.,195,52
,196,41
9:15 a.m.,197,53
6:00 a.m.,198,9
7:10 a.m.,199,0
,200,41
3:50 p.m.,201,64
,202,41
8:00 p.m.,203,26
,204,41
,205,41
10:40 a.m.,206,20
1:33 p.m.,207,65
12:15 p.m.,208,4
,209,41
11:55 p.m.,210,27
4:25 p.m.,211,66
9:00 p.m.,212,28
8:25 p.m.,213,29
6:59 a.m.,214,30
8:35 a.m.,215,31
,216,41
1:30 p.m.,217,32
,218,41
,219,41
11:08 p.m.,220,57
5:30 p.m.,221,67
,222,41
,223,41
,224,41
,225,41
,226,41
,227,41
2:35 p.m.,228,34
2:55 p.m.,229,35
7:15 a.m.,230,22
12:10 p.m.,231,36
7:55 a.m.,232,11
,233,41
1:05 p.m.,234,37
,235,41
3:05 p.m.,236,38
7:30 a.m.,237,13
,238,41
4:00 p.m.,239,40
11:35 a.m.,240,19
7:25 a.m.,241,17
,242,41
11:55 a.m.,243,68
10:40 a.m.,244,20
6:45 a.m.,245,18
4:00 p.m.,246,40
6:00 a.m.,247,9
7:10 a.m.,248,0
7:10 a.m.,249,0
7:10 a.m.,250,0
6:40 a.m.,251,3
8:00 a.m.,252,60
8:41 a.m.,253,69
7:45 p.m.,254,1
6:30 p.m.,255,2
3:27 p.m.,256,61
11:25 a.m.,257,39
11:25 a.m.,258,39
10:39 a.m.,259,70
11:25 p.m.,260,5
6:00 a.m.,261,9
12:15 p.m.,262,4
4:00 p.m.,263,40
9:45 a.m.,264,45
7:00 a.m.,265,6
8:15 a.m.,266,71
4:15 p.m.,267,7
2:30 p.m.,268,46
11:50 a.m.,269,8
6:00 a.m.,270,9
11:05 a.m.,271,62
6:00 a.m.,272,9
8:40 a.m.,273,49
10:45 a.m.,274,10
10:15 a.m.,275,12
7:30 a.m.,276,13
1:00 p.m.,277,14
12:30 a.m.,278,43
9:05 a.m.,279,15
11:45 a.m.,280,16
12:00 p.m.,281,24
7:25 a.m.,282,17
11:35 a.m.,283,19
10:40 a.m.,284,20
7:15 a.m.,285,22
8:05 a.m.,286,47
6:45 p.m.,287,23
12:00 p.m.,288,24
7:15 p.m.,289,52
1:55 p.m.,290,72
9:15 a.m.,291,53
6:00 a.m.,292,9
7:10 a.m.,293,0
3:50 p.m.,294,64
4:16 p.m.,295,73
8:00 p.m.,296,26
10:25 a.m.,297,54
7:05 a.m.,298,74
10:40 a.m.,299,20
1:33 p.m.,300,65
11:55 p.m.,301,27
4:25 p.m.,302,66
9:00 p.m.,303,28
8:25 p.m.,304,29
6:59 a.m.,305,30
8:35 a.m.,306,31
2:30 p.m.,307,46
8:29 a.m.,308,75
1:30 p.m.,309,32
2:53 p.m.,310,56
7:35 a.m.,311,44
1:45 p.m.,312,76
11:15 a.m.,313,77
8:20 p.m.,314,33
2:55 p.m.,315,35
2:30 p.m.,316,46
2:35 p.m.,317,34
2:55 p.m.,318,35
7:15 a.m.,319,22
2:55 p.m.,320,35
12:10 p.m.,321,36
7:55 a.m.,322,11
9:05 a.m.,323,15
1:05 p.m.,324,37
7:53 a.m.,325,78
8:35 a.m.,326,31
3:05 p.m.,327,38
4:00 p.m.,328,40
2:55 p.m.,329,35
11:55 a.m.,330,68
10:40 a.m.,331,20
6:45 a.m.,332,18
4:00 p.m.,333,40
6:00 a.m.,334,9
7:10 a.m.,335,0
7:10 a.m.,336,0
,337,41
7:00 p.m.,338,42
,339,41
,340,41
,341,41
,342,41
,343,41
11:25 a.m.,344,39
,345,41
,346,41
,347,41
,348,41
12:30 a.m.,349,43
,350,41
7:35 a.m.,351,44
9:45 a.m.,352,45
,353,41
,354,41
,355,41
,356,41
,357,41
2:30 p.m.,358,46
8:05 a.m.,359,47
,360,41
,361,41
11:40 a.m.,362,48
,363,41
,364,41
6:00 a.m.,365,9
8:40 a.m.,366,49
,367,41
,368,41
,369,41
,370,41
,371,41
,372,41
,373,41
5:25 p.m.,374,50
7:10 p.m.,375,51
,376,41
,377,41
3:35 p.m.,378,21
,379,41
,380,41
,381,41
,382,41
7:15 p.m.,383,52
,384,41
9:15 a.m.,385,53
,386,41
,387,41
,388,41
,389,41
,390,41
,391,41
,392,41
10:25 a.m.,393,54
,394,41
,395,41
,396,41
,397,41
1:29 p.m.,398,55
,399,41
,400,41
,401,41
,402,41
,403,41
,404,41
,405,41
,406,41
2:53 p.m.,407,56
,408,41
11:08 p.m.,409,57
,410,41
,411,41
,412,41
,413,41
,414,41
2:30 p.m.,415,46
8:55 a.m.,416,58
,417,41
,418,41
,419,41
,420,41
,421,41
9:05 a.m. (-00:00),422,59
,423,41
,424,41
,425,41
,426,41
,427,41
,428,41
2:55 p.m.,429,35
,430,41
,431,41
,432,41
4:00 p.m.,433,40
,434,41
,435,41
,436,41
7:10 a.m.,437,0
,438,41
6:40 a.m.,439,3
8:00 a.m.,440,60
,441,41
7:45 p.m.,442,1
12:00 p.m.,443,24
3:27 p.m.,444,61
,445,41
,446,41
11:25 p.m.,447,5
,448,41
,449,41
4:00 p.m.,450,40
,451,41
,452,41
9:05 a.m.,453,15
,454,41
7:00 a.m.,455,6
4:15 p.m.,456,7
,457,41
,458,41
,459,41
,460,41
11:50 a.m.,461,8
