HospitalName,CountyName,original_index,unique_index
callahan eye foundation hospital,jefferson,0,0
callahan eye foundation hospital,jefferson,1,0
callahan eye foundation hospital,jefferson,2,0
callahan eye foundation hospital,jefferson,3,0
callahan eye foundation hospital,jefferson,4,0
callahan eye foundation hospital,jefferson,5,0
callahan eye foundation hospital,jefferson,6,0
callahan eye foundation hospital,jefferson,7,0
helen keller memorial hospital,jefferson,8,1
helen keller memorial hospital,jefferson,9,1
helen keller memorial hospital,jefferson,10,1
helen keller memorial hospital,jefferson,11,1
helen keller memorial hospital,jefferson,12,1
helen keller memorial hospital,jefferson,13,1
helen keller memorial hospital,jefferson,14,1
helen keller memorial hospital,jefferson,15,1
helen keller memorial hospital,jefferson,16,1
helen keller memorial hospital,jefferson,17,1
helen keller memorial hospital,jefferson,18,1
southeast alabama medical center,houston,19,2
southeast alabama medical center,houston,20,2
southeast alabama medical center,houston,21,2
southeast alabama medical center,houston,22,2
southeast alabama medical center,houston,23,2
southeast alabama medical center,houston,24,2
southeast alabama medical center,houston,25,2
southeast alabama medxcal center,houston,26,3
southeast alabama medical center,houston,27,2
southeast alabama medical center,houston,28,2
southeast alabama medical center,houston,29,2
southeast alabama medical center,houston,30,2
southeast alabama medical center,houston,31,2
southeast alabama medical center,houston,32,2
southeast alabama medical center,houston,33,2
southeast alabama medical center,houston,34,2
southeast alabama medical center,houston,35,2
southeast alabama medical center,houston,36,2
southeast alabama medical center,houston,37,2
southeast alabama medical center,houston,38,2
southeast alabama medical center,houston,39,2
southeast alabama medical center,houston,40,2
southeast alabama medical center,houston,41,2
southeast alabama medical center,houston,42,2
southeast alabama medical center,houston,43,2
marshall medical center south,marshall,44,4
marshall medical center south,marshall,45,4
marshall medical center south,marshall,46,4
marshall medical center south,marshall,47,4
marshall medical center south,marshall,48,4
marshall medical center south,marshall,49,4
marshall medical center south,marshall,50,4
marshall medical center south,marshall,51,4
marshall medical center south,marshall,52,4
marshall medical center south,marshall,53,4
marshall medical center south,marshall,54,4
marshall medical center south,marshall,55,4
marshall medical center south,marshall,56,4
marshall medical center south,marshall,57,4
marshall medical center south,marshall,58,4
marshall medical center south,marshall,59,4
marshall medical center south,marshall,60,4
marshall medical center south,marshall,61,4
marshall medical center south,marshall,62,4
marshall medical center south,marshall,63,4
marshall medical center south,marshall,64,4
marshall medical center south,marshall,65,4
marshall medical center south,marshall,66,4
marshall medical center south,mxrshxll,67,5
marshall medical center south,marshall,68,4
eliza coffee memorial hospital,lauderdale,69,6
eliza coffee memorial hospital,lauderdale,70,6
eliza coffee memorial hospital,lauderdale,71,6
eliza coffee memorial hospital,laudxrdalx,72,7
eliza coffee memorial hospital,lauderdale,73,6
eliza coffee memorial hospital,lauderdale,74,6
eliza coffee memorial hospital,lauderdale,75,6
eliza coffee memorial hospital,lauderdale,76,6
eliza coffee memorial hospital,laudexdale,77,8
eliza coffee memorial hospital,lauderdale,78,6
eliza coffee memorial hospital,lauderdale,79,6
eliza coffee memorial hospital,lauderdale,80,6
eliza coffee memorial hospital,lauderdale,81,6
eliza coffee memorial hospital,lauderdale,82,6
eliza coffee memorial hospital,lauderdale,83,6
eliza coffee memorial hospital,lauderdale,84,6
eliza coffee memorial hospital,lauderdale,85,6
eliza coffee memorial hospital,lauderdale,86,6
eliza coffee memorial hospital,lauderdale,87,6
eliza coffee memorial hospital,lauderdale,88,6
eliza coffee memorial hospital,lauderdale,89,6
eliza coffee memorial hospital,lauderdale,90,6
eliza coffee memorial hospital,lauderdale,91,6
eliza coffee memorial hospital,lauderdale,92,6
eliza coffee memorial hospital,lauderdale,93,6
mizell memorial hospital,covington,94,9
mizell memorial hospital,covington,95,9
mizell memorial hospital,covington,96,9
mizell memorial hospital,covington,97,9
mizell memorial hospital,covington,98,9
mizell memorial hospital,covington,99,9
mizell memorial hospital,covington,100,9
mizell memorial hospital,covington,101,9
mizell memorial hospital,covington,102,9
mizell memorial hospital,covington,103,9
mizell memorial hospital,covington,104,9
mizell memorial hospital,covington,105,9
mizell memorial hospital,covington,106,9
mizell memorial hospital,covington,107,9
mizell memorial hospital,covington,108,9
mizell memorial hospital,covington,109,9
mizell memorial hospital,covington,110,9
mizell memorial hospital,covington,111,9
mizell memorial hospital,covington,112,9
mizell memorial hospital,covington,113,9
mizell memorial hospital,covington,114,9
mizell memorial hospital,covington,115,9
mizell memorial hospital,covington,116,9
mizell memorial hospital,covington,117,9
mizell memorial hospital,covington,118,9
crenshaw community hospital,crenshaw,119,10
crenshaw community hospital,crenshaw,120,10
crenshaw community hospital,crenshaw,121,10
crenshaw community hospital,crenshaw,122,10
crenshaw community hospital,crenshaw,123,10
crenshaw community hospital,crenshaw,124,10
crenshaw community hospital,crenshaw,125,10
crenshaw community hospital,crenshaw,126,10
