0,1,2,3,4,5,6
738,flightexplorer,AA-204-LAX-MCO,11:25 p.m.,,12/2/2011 6:55 a.m.,
771,flightexplorer,UA-37-EWR-MCO,,1:59 p.m.,,4:05 p.m.
770,flightexplorer,UA-664-ORD-PHL,,1:46 p.m.,,4:20 p.m.
741,flightexplorer,AA-3756-ORD-SLC,,12:42 p.m.,,2:50 p.m.
773,flightexplorer,AA-3823-LAX-DEN,9:00 p.m.,,12/2/2011 12:15 a.m.,
778,flightexplorer,AA-649-ORD-SNA,1:30 p.m.,,3:50 p.m.,
748,flightexplorer,AA-2957-DFW-CVG,,8:05 a.m.,,10:58 a.m.
789,flightexplorer,AA-4198-ORD-CLE,,10:55 a.m.,,12:37 p.m.
790,flightexplorer,AA-404-MIA-MCO,,6:58 a.m.,,7:37 a.m.
791,flightexplorer,AA-3809-PHX-LAX,,6:11 a.m.,,6:13 a.m.
792,flightexplorer,AA-59-JFK-SFO,,7:40 a.m.,,10:52 a.m.
730,flightexplorer,AA-3859-IAH-ORD,,7:16 a.m.,,9:22 a.m.
762,flightexplorer,CO-1193-EWR-MCO,,9:56 a.m.,,12:02 p.m.
1308,myrateplan,AA-2957-DFW-CVG,,8:04 a.m.,,10:58 a.m.
